angles,magnitudes,activity
0.555,1,5
0.05,0,5
2.42851,0,5
1.21,1,5
0,0,5
4.25,2,5
0.7475,0,5
0.323985,-4.34882e-06,5
0.323985,-4.34882e-06,5
0.0138965,0.0153809,5
0.0862054,-4.34882e-06,5
-0.709373,-0,5
0.746032,1,5
0.142857,0,5
3.76289,0,5
1.08617,1,5
0,0,5
2.14286,2,5
0.122449,0,5
0.178103,-4.34882e-06,5
0.217589,-4.34882e-06,5
0.0115543,0.0153809,5
0.178103,-4.34882e-06,5
-0.0659394,-0,5
0.7216,1,5
0.12,0,5
6.35686,0,5
1.1344,1,5
0,0,5
2.36,2,5
0.24,0,5
0.230008,-4.34882e-06,5
0.230008,-4.34882e-06,5
0.0120809,0.0153809,5
0.159345,-4.34882e-06,5
-0.342778,-0,5
0.500686,1,5
0.296296,0,5
5.24261,0,5
1.19204,1,5
0,0,5
4.96296,2,5
0.30727,0,5
0.32692,-4.34882e-06,5
0.399277,-4.34882e-06,5
0.00886508,0.0153809,5
0.263909,-4.34882e-06,5
-0.121675,-0,5
1,1,5
0,0,5
0,0,5
1,1,5
0,0,5
0,2,5
0,0,5
-4.34882e-06,-4.34882e-06,5
-4.34882e-06,-4.34882e-06,5
0.0153809,0.0153809,5
-4.34882e-06,-4.34882e-06,5
-0,-0,5
1,1,5
0,0,5
0,0,5
1,1,5
0,0,5
0,2,5
0,0,5
-4.34882e-06,-4.34882e-06,5
-4.34882e-06,-4.34882e-06,5
0.0153809,0.0153809,5
-4.34882e-06,-4.34882e-06,5
-0,-0,5
1,1,5
0,0,5
0,0,5
1,1,5
0,0,5
0,2,5
0,0,5
-4.34882e-06,-4.34882e-06,5
-4.34882e-06,-4.34882e-06,5
0.0153809,0.0153809,5
-4.34882e-06,-4.34882e-06,5
-0,-0,5
1,1,5
0,0,5
0,0,5
1,1,5
0,0,5
0,2,5
0,0,5
-4.34882e-06,-4.34882e-06,5
-4.34882e-06,-4.34882e-06,5
0.0153809,0.0153809,5
-4.34882e-06,-4.34882e-06,5
-0,-0,5
0.387755,1,5
0.285714,0,5
0.300005,0,5
1.20408,1,5
0,0,5
12.2857,2,5
0.530612,0,5
0.415042,-4.34882e-06,5
0.501046,-4.34882e-06,5
0.00900331,0.0153809,5
0.259816,-4.34882e-06,5
-0.071533,-0,5
0.555556,1,5
0.333333,0,5
2e+10,0,5
1,1,5
0,0,5
14.3333,2,5
0.222222,0,5
0.276426,-4.34882e-06,5
0.276426,-4.34882e-06,5
0.00843642,0.0153809,5
0.276426,-4.34882e-06,5
319682,-0,5
1,1,5
0,0,5
0,0,5
1,1,5
0,0,5
14,2,5
0,0,5
-4.34882e-06,-4.34882e-06,5
-4.34882e-06,-4.34882e-06,5
0.0153809,0.0153809,5
-4.34882e-06,-4.34882e-06,5
-0,-0,5
0.333333,1,5
0.333333,0,5
-9.49981,0,5
1.22222,1,5
0,0,5
9.66667,2,5
0.666667,0,5
0.477108,-4.34882e-06,5
0.477108,-4.34882e-06,5
0.00843642,0.0153809,5
0.276426,-4.34882e-06,5
-0.636993,-0,5
0.333333,1,5
0.222222,0,5
0.549973,0,5
1.24691,1,5
0,0,5
8,2,5
0.765432,0,5
0.460711,-4.34882e-06,5
0.527602,-4.34882e-06,5
0.00997962,0.0153809,5
0.23004,-4.34882e-06,5
-0.231509,-0,5
0.52,1,5
0,0,5
0.999959,0,5
1.24,1,5
0,0,5
5.6,2,5
0.96,0,5
0.292277,-4.34882e-06,5
0.292277,-4.34882e-06,5
0.0153809,0.0153809,5
-4.34882e-06,-4.34882e-06,5
-0.999998,-0,5
0.62963,1,5
0.444444,0,5
3.4999,0,5
1.44444,1,5
0,0,5
3.11111,2,5
0.691358,0,5
0.23004,-4.34882e-06,5
0.296931,-4.34882e-06,5
0.0122944,0.0153809,5
0.151487,-4.34882e-06,5
-0.683684,-0,5
0.333333,1,5
0.833333,0,5
8.99962,0,5
1.33333,1,5
0,0,5
11.8333,2,5
0.583333,0,5
0.376765,-4.34882e-06,5
0.539573,-4.34882e-06,5
0.00756836,0.0153809,5
0.376765,-4.34882e-06,5
-0.834107,-0,5
0.819155,1,5
0.0487805,0,5
4.32387,0,5
1.08804,1,5
0,0,5
1.41463,2,5
0.222487,1.42109e-14,5
0.168196,-4.29705e-06,5
0.168196,-4.29705e-06,5
0.0139308,0.0153809,5
0.0846391,-4.29705e-06,5
-0.448932,-0,5
0.857988,1,5
0.0769231,0,5
0,0,5
0.999999,1,5
0,0,5
1.15385,2,5
0.0710059,0,5
0.117767,-4.34882e-06,5
0.117767,-4.34882e-06,5
0.0131619,0.0153809,5
0.117767,-4.34882e-06,5
60638.2,-0,5
0.83564,1,5
0.0882353,0,5
-7.24196,0,5
1.02855,1,5
0,0,5
1.32353,2,5
0.0804498,0,5
0.1296,-4.34882e-06,5
0.153987,-4.34882e-06,5
0.0128668,0.0153809,5
0.1296,-4.34882e-06,5
-0.102599,-0,5
0.750297,1,5
0.103448,0,5
2.85893,0,5
1.09275,1,5
0,0,5
2.03448,2,5
0.211653,0,5
0.207907,-4.34882e-06,5
0.236499,-4.34882e-06,5
0.0124825,0.0153809,5
0.144435,-4.34882e-06,5
-0.138645,-0,5
0.642857,1,5
3.5,0,5
0.416663,0,5
7,1,5
0,0,5
0.928571,2,5
25.25,0,5
0.284874,-4.34882e-06,5
0.284874,-4.34882e-06,5
0.0133082,0.0153809,5
0.111743,-4.34882e-06,5
-0.712474,-0,5
0.59375,1,5
6.125,0,5
-0.142856,0,5
6.35938,1,5
0,0,5
1.375,2,5
23.7344,0,5
0.319464,-4.34882e-06,5
0.319464,-4.34882e-06,5
0.0119629,0.0153809,5
0.163621,-4.34882e-06,5
-0.692995,-0,5
0.573965,1,5
0,0,5
0.999994,0,5
11.4379,1,5
0,0,5
0.615385,2,5
41.7515,0,5
0.268056,-4.34882e-06,5
0.268056,-4.34882e-06,5
0.0153809,0.0153809,5
-4.34882e-06,-4.34882e-06,5
-0.999989,-0,5
0.654321,1,5
0,0,5
0.999993,0,5
9.46914,1,5
0,0,5
0.444444,2,5
33.8765,0,5
0.23004,-4.34882e-06,5
0.23004,-4.34882e-06,5
0.0153809,0.0153809,5
-4.34882e-06,-4.34882e-06,5
-0.999966,-0,5
0.755102,1,5
0,0,5
0.999943,0,5
1.12245,1,5
0,0,5
2,2,5
0.489796,0,5
0.178103,-4.34882e-06,5
0.178103,-4.34882e-06,5
0.0153809,0.0153809,5
-4.40059e-06,-4.34882e-06,5
-0.999898,-0,5
0.553719,0.834711,5
0.0909091,0.0909091,5
1.40738,2.09985,5
2.33884,1.08264,5
0,0,5
3.36364,2.27273,5
5.27273,0.743802,5
0.384583,0.132293,5
0.384583,0.132293,5
0.0127982,0.0127982,5
0.132293,0.132293,5
-0.668024,-3.00475,5
0.501385,0.900277,5
0.105263,0,5
0.959558,0.999955,5
2.30194,1.19945,5
0,0,5
4.10526,2.21053,5
5.10249,0.797784,5
0.409542,0.0895394,5
0.441225,0.0895394,5
0.0124376,0.0153809,5
0.14613,-4.34882e-06,5
-0.564747,-0.999223,5
0.508507,0.761815,5
0.478261,0.0869565,5
1.30403,0.620858,5
3.431,1.34405,5
0,0,5
3.52174,2.34783,5
7.7051,1.00945,5
0.46182,0.23038,5
0.46182,0.23038,5
0.0117183,0.0128998,5
0.204208,0.128299,5
-0.725323,-0.658636,5
0.764828,1,5
0.0322581,0,5
1.4378,0,5
1.36837,1,5
0,0,5
1.64516,2,5
1.27575,0,5
0.225251,-4.34882e-06,5
0.225251,-4.34882e-06,5
0.0144053,0.0153809,5
0.0618808,-4.34882e-06,5
-0.941845,-0,5
1,1,5
0,0,5
0,0,5
1,1,5
0,0,5
0,2,5
0,0,5
-4.34882e-06,-4.34882e-06,5
-4.34882e-06,-4.34882e-06,5
0.0153809,0.0153809,5
-4.34882e-06,-4.34882e-06,5
-0,-0,5
0.724852,0.926036,5
0.115385,0.0384615,5
3.81516,-0.0399958,5
1.23225,1.03698,5
0,0,5
2.19231,2.03846,5
0.504438,0.0369822,5
0.255904,0.0707916,5
0.255904,0.0707916,5
0.0121911,0.0142252,5
0.155307,0.0707916,5
-0.478433,-0.240608,5
0.62949,1,5
0.217391,0,5
2.80381,0,5
1.38563,1,5
0,0,5
3,2,5
1.03214,0,5
0.290918,-4.34882e-06,5
0.32697,-4.34882e-06,5
0.0100642,0.0153809,5
0.227382,-4.34882e-06,5
-0.61705,-0,5
0.32438,1,5
0.0909091,0,5
0.231841,0,5
1.73967,1,5
0,0,5
7,2,5
3.01653,0,5
0.555956,-4.34882e-06,5
0.555956,-4.34882e-06,5
0.0127982,0.0153809,5
0.132293,-4.34882e-06,5
-0.779755,-0,5
0.268166,1,5
0.264706,0,5
0.569113,0,5
1.75086,1,5
0,0,5
7.61765,2,5
2.69291,0,5
0.570254,-4.34882e-06,5
0.649899,-4.34882e-06,5
0.0107042,0.0153809,5
0.236899,-4.34882e-06,5
-0.614205,-0,5
0.302222,1,5
0.266667,0,5
2.25501,0,5
1.82333,1,5
0,0,5
6.93333,2,5
2.77333,0,5
0.580843,-4.34882e-06,5
0.617059,-4.34882e-06,5
0.0109017,0.0153809,5
0.231884,-4.34882e-06,5
-0.645592,-0,5
0.267857,1,5
0.678571,0,5
3.65993,0,5
1.76531,1,5
0,0,5
7.25,2,5
2.07526,0,5
0.616883,-4.34882e-06,5
0.703957,-4.34882e-06,5
0.00736906,0.0153809,5
0.377789,-4.34882e-06,5
-0.369122,-0,5
0.38,1,5
24.5,0,5
-0.249998,0,5
8.84,1,5
0,0,5
5.5,2,5
12.25,0,5
0.301021,-4.34882e-06,5
0.44716,-4.34882e-06,5
0.00756836,0.0153809,5
0.301021,-4.34882e-06,5
-0.219377,-0,5
0.375,1,5
24.5,0,5
-0.333331,0,5
10.1875,1,5
0,0,5
5.5,2,5
12.25,0,5
0.301021,-4.34882e-06,5
0.451532,-4.34882e-06,5
0.00756836,0.0153809,5
0.301021,-4.34882e-06,5
-0.151061,-0,5
0.744898,1,5
3.5,0,5
0.999989,0,5
4.25,1,5
0,0,5
2.35714,2,5
15.25,0,5
0.221103,-4.34882e-06,5
0.221103,-4.34882e-06,5
0.0133082,0.0153809,5
0.111743,-4.34882e-06,5
-0.732922,-0,5
0.722222,1,5
8.16667,0,5
-0.199998,0,5
7.80555,1,5
0,0,5
3.16667,2,5
6.80556,0,5
0.195668,-4.34882e-06,5
0.195668,-4.34882e-06,5
0.0110406,0.0153809,5
0.195668,-4.34882e-06,5
-0.404663,-0,5
0.857988,1,5
0,0,5
0.999978,0,5
1.07101,1,5
0,0,5
1.07692,2,5
0.284024,0,5
0.117767,-4.34882e-06,5
0.117767,-4.34882e-06,5
0.0153809,0.0153809,5
-4.40059e-06,-4.34882e-06,5
-0.999628,-0,5
0.570248,1,5
0.272727,0,5
-7.79936,0,5
1.08264,1,5
0,0,5
4.09091,2,5
0.198347,0,5
0.254467,-4.34882e-06,5
0.329854,-4.34882e-06,5
0.00918251,0.0153809,5
0.254467,-4.34882e-06,5
-0.193814,-0,5
0.515571,1,5
1.58824,0,5
1.2508,0,5
3.11073,1,5
0,0,5
3.70588,2,5
4.58824,0,5
0.433237,-4.34882e-06,5
0.468648,-4.34882e-06,5
0.0106231,0.0153809,5
0.25115,-4.34882e-06,5
-0.44323,-0,5
0.54,1,5
0.2,0,5
6.71413,0,5
1.21,1,5
0,0,5
4.4,2,5
0.44,0,5
0.348212,-4.34882e-06,5
0.348212,-4.34882e-06,5
0.0103809,0.0153809,5
0.217313,-4.34882e-06,5
-0.409999,-0,5
0.36,0.905,5
2.6,0.05,5
0.830817,-0.0526268,5
3.66,1.0475,5
0,0,5
5.9,2.05,5
3.91,0.0475,5
0.577723,0.0862054,5
0.577723,0.0862054,5
0.0101465,0.0138965,5
0.266153,0.0862054,5
-0.658504,-0.258406,5
0.481482,1,5
5.44444,0,5
0.999991,0,5
5.76543,1,5
0,0,5
3.88889,2,5
5.58025,0,5
0.435458,-4.34882e-06,5
0.435458,-4.34882e-06,5
0.0122944,0.0153809,5
0.151487,-4.34882e-06,5
-0.801318,-0,5
0.427083,1,5
2.125,0,5
0.99999,0,5
4.65972,1,5
0,0,5
4.45833,2,5
9.5816,0,5
0.54478,-4.34882e-06,5
0.54478,-4.34882e-06,5
0.0118544,0.0153809,5
0.19817,-4.34882e-06,5
-0.670934,-0,5
0.605536,1,5
3,0,5
1.26019,0,5
3.7128,1,5
0,0,5
3.11765,2,5
2.81661,0,5
0.343177,-4.34882e-06,5
0.343177,-4.34882e-06,5
0.0106231,0.0153809,5
0.25115,-4.34882e-06,5
-0.35726,-0,5
0.503287,1,5
0,0,5
0.99996,0,5
1.24836,1,5
0,0,5
13.0811,2,5
0.993426,0,5
0.299592,-4.34882e-06,5
0.299592,-4.34882e-06,5
0.0153809,0.0153809,5
-4.34882e-06,-4.34882e-06,5
-1,-0,5
0.476813,1,5
0.0344828,0,5
1.85286,0,5
1.24257,1,5
0,0,5
13.2069,2,5
1.06064,0,5
0.351485,-4.34882e-06,5
0.351485,-4.34882e-06,5
0.0143404,0.0153809,5
0.0651333,-4.34882e-06,5
-1.33771,-0,5
0.429363,1,5
0.0526316,0,5
1.97655,0,5
1.2964,1,5
0,0,5
12.7895,2,5
1.21884,0,5
0.433387,-4.34882e-06,5
0.433387,-4.34882e-06,5
0.0138227,0.0153809,5
0.0895394,-4.34882e-06,5
-0.835682,-0,5
0.467301,1,5
0.0689655,0,5
2.4215,0,5
1.24257,1,5
0,0,5
13.2414,2,5
