angles,magnitudes,activity
0.952112,1,2
0.0243902,0,2
-0.0120269,0,2
1.01205,1,2
0,0,2
0.365854,2,2
0.0237954,1.42109e-14,2
0.0497898,-4.29705e-06,2
0.0571277,-4.29705e-06,2
0.0146373,0.0153809,2
0.0497898,-4.29705e-06,2
-0.00228408,-0,2
0.945988,1,2
0.0277778,0,2
7.17031,0,2
1.02701,1,2
0,0,2
0.416667,2,2
0.0270062,0,2
0.0551165,-4.34882e-06,2
0.0551165,-4.34882e-06,2
0.0145369,0.0153809,2
0.0551165,-4.34882e-06,2
-0.22197,-0,2
0.948089,1,2
0.0266667,0,2
-1.86665e+09,0,2
1,1,2
0,0,2
0.4,2,2
0.0259556,0,2
0.0533908,-4.34882e-06,2
0.0533908,-4.34882e-06,2
0.0145697,0.0153809,2
0.0533908,-4.34882e-06,2
18381.6,-0,2
0.972228,1,2
0.0140845,0,2
7.08506,0,2
1.01389,1,2
0,0,2
0.211268,2,2
0.0138861,0,2
0.0321389,-4.34882e-06,2
0.0321389,-4.34882e-06,2
0.0149469,0.0153809,2
0.0321389,-4.34882e-06,2
-0.191674,-0,2
1,1,2
0,0,2
0,0,2
1,1,2
0,0,2
0,2,2
0,0,2
-4.34882e-06,-4.34882e-06,2
-4.34882e-06,-4.34882e-06,2
0.0153809,0.0153809,2
-4.34882e-06,-4.34882e-06,2
-0,-0,2
1,1,2
0,0,2
0,0,2
1,1,2
0,0,2
0,2,2
0,0,2
-4.34882e-06,-4.34882e-06,2
-4.34882e-06,-4.34882e-06,2
0.0153809,0.0153809,2
-4.34882e-06,-4.34882e-06,2
-0,-0,2
1,1,2
0,0,2
0,0,2
1,1,2
0,0,2
0,2,2
0,0,2
-4.34882e-06,-4.34882e-06,2
-4.34882e-06,-4.34882e-06,2
0.0153809,0.0153809,2
-4.34882e-06,-4.34882e-06,2
-0,-0,2
1,1,2
0,0,2
0,0,2
1,1,2
0,0,2
0,2,2
0,0,2
-4.34882e-06,-4.34882e-06,2
-4.34882e-06,-4.34882e-06,2
0.0153809,0.0153809,2
-4.34882e-06,-4.34882e-06,2
-0,-0,2
1,1,2
0,0,2
0,0,2
1,1,2
0,0,2
0,2,2
0,0,2
-4.34882e-06,-4.34882e-06,2
-4.34882e-06,-4.34882e-06,2
0.0153809,0.0153809,2
-4.34882e-06,-4.34882e-06,2
-0,-0,2
1,1,2
0,0,2
0,0,2
1,1,2
0,0,2
0,2,2
0,0,2
-4.34882e-06,-4.34882e-06,2
-4.34882e-06,-4.34882e-06,2
0.0153809,0.0153809,2
-4.34882e-06,-4.34882e-06,2
-0,-0,2
1,1,2
0,0,2
0,0,2
1,1,2
0,0,2
0,2,2
0,0,2
-4.34882e-06,-4.34882e-06,2
-4.34882e-06,-4.34882e-06,2
0.0153809,0.0153809,2
-4.34882e-06,-4.34882e-06,2
-0,-0,2
1,1,2
0,0,2
0,0,2
1,1,2
0,0,2
0,2,2
0,0,2
-4.34882e-06,-4.34882e-06,2
-4.34882e-06,-4.34882e-06,2
0.0153809,0.0153809,2
-4.34882e-06,-4.34882e-06,2
-0,-0,2
0.829218,1,2
0.0185185,0,2
2.3224,0,2
1.08402,1,2
0,0,2
1.31481,2,2
0.287037,0,2
0.154087,-4.34882e-06,2
0.154087,-4.34882e-06,2
0.0148129,0.0153809,2
0.0400402,-4.34882e-06,2
-0.712621,-0,2
0.760388,1,2
0.0789474,0,2
-1.89525,0,2
1.07271,1,2
0,0,2
1.92105,2,2
0.25554,0,2
0.20755,-4.34882e-06,2
0.229369,-4.34882e-06,2
0.0131085,0.0153809,2
0.11994,-4.34882e-06,2
-0.321485,-0,2
0.725181,1,2
0.0769231,0,2
2.14694,0,2
1.11177,1,2
0,0,2
2.23077,2,2
0.331361,0,2
0.232752,-4.34882e-06,2
0.254012,-4.34882e-06,2
0.0131619,0.0153809,2
0.117767,-4.34882e-06,2
-0.344232,-0,2
0.767315,1,2
0.0638298,0,2
2.11887,0,2
1.09507,1,2
0,0,2
1.85106,2,2
0.282481,1.42109e-14,2
0.204279,-4.29705e-06,2
0.22192,-4.29705e-06,2
0.0135135,0.0153809,2
0.103083,-4.29705e-06,2
-0.358334,-0,2
0.792813,1,2
0.05,0,2
0.686875,0,2
1.07984,1,2
0,0,2
1.625,2,2
0.269375,0,2
0.186297,-4.34882e-06,2
0.201344,-4.34882e-06,2
0.0138965,0.0153809,2
0.0862054,-4.34882e-06,2
-0.43722,-0,2
0.748843,1,2
0.0972222,0,2
3.24981,0,2
1.09877,1,2
0,0,2
2.04167,2,2
0.231289,0,2
0.211829,-4.34882e-06,2
0.237085,-4.34882e-06,2
0.012638,0.0153809,2
0.138504,-4.34882e-06,2
-0.186512,-0,2
0.776844,1,2
0.0945946,0,2
-1.14493,0,2
1.063,1,2
0,0,2
1.7973,2,2
0.180606,0,2
0.188717,-4.34882e-06,2
0.216768,-4.34882e-06,2
0.0127044,0.0153809,2
0.135943,-4.34882e-06,2
-0.124796,-0,2
0.682277,1,2
0.151515,0,2
2.13782,0,2
1.10652,1,2
0,0,2
2.69697,2,2
0.227732,0,2
0.241481,-4.34882e-06,2
0.285762,-4.34882e-06,2
0.0113634,0.0153809,2
0.184709,-4.34882e-06,2
-0.0557776,-0,2
0.378685,0.53288,2
9.33333,1.33333,2
0.357141,0.771729,2
11.8889,3.5034,2
0,0,2
2.28571,3.80952,2
36.8889,8.72562,2
0.439708,0.385307,2
0.486221,0.424793,2
0.0105623,0.0103497,2
0.211455,0.257968,2
-0.344748,-0.73316,2
0.377163,0.688581,2
8.64706,1.17647,2
0.227271,0.716655,2
12.1903,2.6609,2
0,0,2
2.29412,3.05882,2
39.6747,5.70242,2
0.446613,0.286561,2
0.446613,0.286561,2
0.0108393,0.0120288,2
0.202372,0.192708,2
-0.580767,-1.68009,2
0.477041,0.530612,2
3.5,1,2
0.999994,1.12961,2
12.6875,2.10204,2
0,0,2
1.28571,3.35714,2
41.5,5.44388,2
0.371864,0.410318,2
0.371864,0.445203,2
0.0133082,0.0114348,2
0.111743,0.212987,2
-0.675587,-0.746294,2
0.385,0.36,2
7.35,3.6,2
0.999994,0.0909079,2
12.76,3.2,2
0,0,2
2.25,3.8,2
41.5275,5.16,2
0.438804,0.513542,2
0.438804,0.555003,2
0.0113965,0.00624023,2
