angles,magnitudes,activity
0.909297,0.433107,3
0,2.14286,3
0.999906,0.474993,3
1.04535,2.63265,3
0,0,3
7.90476,3.57143,3
0.181406,4.81633,3
0.0831344,0.398041,3
0.0831344,0.467628,3
0.0153809,0.00971192,3
-4.34882e-06,0.238364,3
-0.999059,-0.13908,3
1,0.555556,3
0,6,3
0,0.999986,3
1,3,3
0,0,3
8,6,3
0,2,3
-4.34882e-06,0.276426,3
-4.34882e-06,0.276426,3
0.0153809,0.00843642,3
-4.34882e-06,0.276426,3
-0,-1.72597,3
1,0.625,3
0,6.75,3
0,0.999985,3
1,2.6875,3
0,0,3
8,5.75,3
0,1.6875,3
-4.34882e-06,0.24421,3
-4.34882e-06,0.24421,3
0.0153809,0.00952148,3
-4.34882e-06,0.24421,3
-0,-2.46523,3
1,0.555556,3
0,6,3
0,0,3
1,1,3
0,0,3
8,4,3
0,2,3
-4.34882e-06,0.276426,3
-4.34882e-06,0.276426,3
0.0153809,0.00843642,3
-4.34882e-06,0.276426,3
-0,702928,3
1,1,3
0,0,3
0,0,3
1,1,3
0,0,3
8,2,3
0,0,3
-4.34882e-06,-4.34882e-06,3
-4.34882e-06,-4.34882e-06,3
0.0153809,0.0153809,3
-4.34882e-06,-4.34882e-06,3
-0,-0,3
1,1,3
0,0,3
0,0,3
1,1,3
0,0,3
8,2,3
0,0,3
-4.34882e-06,-4.34882e-06,3
-4.34882e-06,-4.34882e-06,3
0.0153809,0.0153809,3
-4.34882e-06,-4.34882e-06,3
-0,-0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0.171875,0.21875,3
14.625,0.625,3
0.281372,-0.99997,3
9.87109,1.4375,3
0,0,3
5.25,10.375,3
19.3125,0.984375,3
0.686519,0.565992,3
0.799397,0.747565,3
0.00512695,0.00695801,3
0.526785,0.375539,3
-0.677242,-0.196303,3
0.209877,0.259259,3
19.2222,0.444444,3
0.578546,-3.7499,3
9.17284,1.44444,3
0,0,3
6.55556,10.2222,3
13.8765,1.28395,3
0.619743,0.63614,3
0.72828,0.63614,3
0.00496419,0.00766481,3
0.527602,0.298335,3
-0.79891,-0.641537,3
0.209877,0.234568,3
9.77778,0.666667,3
1.1521,-3.9999,3
9.76543,1.44444,3
0,0,3
4.66667,10.2222,3
24.8889,1.06173,3
0.63614,0.569249,3
0.728281,0.661389,3
0.00766481,0.00843642,3
0.368566,0.276426,3
-0.779281,-0.581338,3
0.185185,0.209877,3
13,0.444444,3
0.865263,-1.24997,3
9.24691,1.54321,3
0,0,3
5,10,3
19.5556,1.33333,3
0.661389,0.661389,3
0.795172,0.72828,3
0.0057358,0.00766481,3
0.499013,0.298335,3
-0.596575,-0.358937,3
0.455,0.77625,3
0.05,0.225,3
0.393922,0.771413,3
1.2475,1.98438,3
0,0,3
7.05,2.675,3
0.9475,3.36937,3
0.371608,0.190781,3
0.371608,0.190781,3
0.0138965,0.0146191,3
0.0862054,0.0507633,3
-0.771105,-0.704776,3
0.385042,0.66759,3
0.157895,1.89474,3
2.26658,0,3
1.24931,1,3
0,0,3
7.10526,2.63158,3
0.831025,1.49584,3
0.440044,0.223502,3
0.440044,0.223502,3
0.0112257,0.010187,3
0.189414,0.223502,3
-0.559283,190655,3
0.365079,0.637188,3
0.190476,2.14286,3
2.55545,0,3
1.2449,1,3
0,0,3
7.04762,2.71429,3
0.807256,1.63265,3
0.454533,0.238364,3
0.454533,0.238364,3
0.0105623,0.00971192,3
0.211455,0.238364,3
-0.547629,218935,3
0.315,0.625,3
0.3,2.25,3
2.66656,0,3
1.24,1,3
0,0,3
7,2.75,3
0.9,1.6875,3
0.531589,0.24421,3
0.531589,0.24421,3
0.00881836,0.00952148,3
0.265286,0.24421,3
-1.11128,231278,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
1,1,3
0,0,3
0,0,3
1,1,3
0,0,3
8,10,3
0,0,3
-4.34882e-06,-4.34882e-06,3
-4.34882e-06,-4.34882e-06,3
0.0153809,0.0153809,3
-4.34882e-06,-4.34882e-06,3
-0,-0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
1,1,3
0,0,3
0,0,3
1,1,3
0,0,3
10,10,3
0,0,3
-4.34882e-06,-4.34882e-06,3
-4.34882e-06,-4.34882e-06,3
0.0153809,0.0153809,3
-4.34882e-06,-4.34882e-06,3
-0,-0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0.2275,0.285,3
2.125,4.85,3
-0.111881,-0.127905,3
1.89938,3.15,3
0,0,3
4.975,4,3
1.57438,3.75,3
0.531779,0.478441,3
0.706707,0.649675,3
0.00610352,0.00686523,3
0.423126,0.371608,3
-0.404653,-0.247454,3
0.239669,0.285124,3
2.09091,4.81818,3
-0.294111,-0.0833322,3
1.8781,3.18182,3
0,0,3
5.09091,4.09091,3
1.6281,3.71901,3
0.498081,0.470122,3
0.675056,0.602974,3
0.00640617,0.0069227,3
0.403975,0.367168,3
-0.46595,-0.110737,3
0.302083,0.402778,3
0.708333,1.5,3
0.243238,0.819387,3
1.77083,3.07639,3
0,0,3
5.29167,4.08333,3
2.87326,7.32639,3
0.5757,0.465657,3
0.66167,0.506356,3
0.0100098,0.0110406,3
0.267508,0.195668,3
-0.65505,-0.507554,3
0.227273,0.280992,3
1.90909,4.81818,3
-0.466656,0.0180256,3
1.86777,3.40702,3
0,0,3
5,4.18182,3
2,4.60331,3
0.564228,0.497484,3
0.697081,0.630336,3
0.0063416,0.0069227,3
0.405952,0.367168,3
-1.35241,-0.231025,3
0.382716,0.283951,3
3.77778,3.44444,3
1.66664,-0.11111,3
3,3,3
0,0,3
7.11111,7.88889,3
6.98765,3.87654,3
0.499013,0.527602,3
0.499013,0.619743,3
0.00766481,0.0065074,3
0.368566,0.406872,3
-1.821,-1.50524,3
0.28,0.28,3
3.6,2,3
0.166664,-1.0652,3
3.16,2.84,3
0,0,3
5.6,8.4,3
5.04,5.04,3
0.458133,0.458133,3
0.578541,0.578541,3
0.00788086,0.00663086,3
0.292277,0.412684,3
-0.0205709,-2.30968,3
0.68,0.68,3
0,0,3
0.999983,0.999983,3
2.44,2.44,3
0,0,3
6.8,7.2,3
5.76,5.76,3
0.217313,0.217313,3
0.217313,0.217313,3
0.0153809,0.0153809,3
-4.34882e-06,-4.34882e-06,3
-0.999955,-0.999955,3
0.44,0.28,3
5,4.4,3
-1.8906,-1.12498,3
3.56,2.6,3
0,0,3
8.2,7.6,3
4.96,1.84,3
0.412684,0.458133,3
0.412684,0.578541,3
0.00663086,0.00538086,3
0.412684,0.458133,3
-3.97019,-0.366874,3
1,1,3
0,0,3
0,0,3
1,1,3
0,0,3
8,10,3
0,0,3
-4.34882e-06,-4.34882e-06,3
-4.34882e-06,-4.34882e-06,3
0.0153809,0.0153809,3
-4.34882e-06,-4.34882e-06,3
-0,-0,3
1,1,3
0,0,3
0,0,3
1,1,3
0,0,3
8,10,3
0,0,3
-4.34882e-06,-4.34882e-06,3
-4.34882e-06,-4.34882e-06,3
0.0153809,0.0153809,3
-4.34882e-06,-4.34882e-06,3
-0,-0,3
1,1,3
0,0,3
0,0,3
1,1,3
0,0,3
8,10,3
0,0,3
-4.34882e-06,-4.34882e-06,3
-4.34882e-06,-4.34882e-06,3
0.0153809,0.0153809,3
