angles,magnitudes,activity
0.849723,0.563366,0
0.776316,0.184211,0
0.852115,1.44203,0
2.95758,2.60734,0
0,0,0
2.27632,11.3684,0
7.39526,6.52216,0
0.173433,0.396251,0
0.173433,0.414824,0
0.0141798,0.0106847,0
0.0910256,0.207462,0
-0.858612,-0.891958,0
0.943289,0.627809,0
0.724638,0.246377,0
-0.0147034,5.00728,0
1.01428,1.16635,0
0,0,0
2.11594,11.9855,0
0.711195,0.42008,0
0.065691,0.329105,0
0.065691,0.369596,0
0.0144948,0.0102414,0
0.065691,0.241717,0
-1.39311,-0.614979,0
0.947733,0.632711,0
0.653333,0.0666667,0
0.999942,0.314824,0
1.1184,1.50596,0
0,0,0
2.17333,11.9867,0
1.10329,2.03982,0
0.061414,0.361549,0
0.061414,0.361549,0
0.0149697,0.0134364,0
0.0307439,0.106363,0
-2.15591,-0.822405,0
0.942081,0.561595,0
0,0.298507,0
0.999961,-1.13401,0
1.26064,1.67142,0
0,0,0
2.1791,11.7612,0
1.04255,2.56984,0
0.0582836,0.404733,0
0.0582836,0.404733,0
0.0153809,0.00935223,0
-4.29705e-06,0.270623,0
-0.997739,-0.934819,0
1,0.832925,0
0,0.0895522,0
0,-0.0469074,0
1,1.04277,0
0,0,0
4,12.0896,0
0,0.0815326,0
-4.34882e-06,0.130931,0
-4.34882e-06,0.157885,0
0.0153809,0.012833,0
-4.34882e-06,0.130931,0
-0,-0.0114799,0
1,0.909297,0
0,0.0476191,0
0,-5.29936,0
1,1.04535,0
0,0,0
4,12.0476,0
0,0.0453515,0
-4.34882e-06,0.0831344,0
-4.34882e-06,0.0831344,0
0.0153809,0.0139636,0
-4.34882e-06,0.0831344,0
-0,-0.254875,0
1,0.895062,0
0,0.0555556,0
0,-5.3529,0
1,1.05247,0
0,0,0
4,12.0556,0
0,0.0524691,0
-4.34882e-06,0.0931731,0
-4.34882e-06,0.0931731,0
0.0153809,0.0137412,0
-4.34882e-06,0.0931731,0
-0,-0.266419,0
1,0.906477,0
0,0.0491803,0
0.922852,-5.3097,0
1,1.04676,0
0,0,0
4,12.0492,0
5.68434e-14,0.0467616,0
-4.29705e-06,0.0851542,0
-4.29705e-06,0.0851542,0
0.0153809,0.0139196,0
-4.29705e-06,0.0851542,0
-0,-0.257197,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
0,2,0
0,0,0
-4.34882e-06,-4.34882e-06,0
-4.34882e-06,-4.34882e-06,0
0.0153809,0.0153809,0
-4.34882e-06,-4.34882e-06,0
-0,-0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
0,2,0
0,0,0
-4.34882e-06,-4.34882e-06,0
-4.34882e-06,-4.34882e-06,0
0.0153809,0.0153809,0
-4.34882e-06,-4.34882e-06,0
-0,-0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
0,2,0
0,0,0
-4.34882e-06,-4.34882e-06,0
-4.34882e-06,-4.34882e-06,0
0.0153809,0.0153809,0
-4.34882e-06,-4.34882e-06,0
-0,-0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
0,2,0
0,0,0
-4.34882e-06,-4.34882e-06,0
-4.34882e-06,-4.34882e-06,0
0.0153809,0.0153809,0
-4.34882e-06,-4.34882e-06,0
-0,-0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
0,2,0
0,0,0
-4.34882e-06,-4.34882e-06,0
-4.34882e-06,-4.34882e-06,0
0.0153809,0.0153809,0
-4.34882e-06,-4.34882e-06,0
-0,-0,0
0.701646,0.36214,0
0.259259,0.444444,0
0.787091,-0.133043,0
1.26097,1.71913,0
0,0,0
2.37037,13.1111,0
1.01097,2.54321,0
0.298944,0.528135,0
0.310089,0.595493,0
0.0113085,0.00809348,0
0.218347,0.32692,0
-0.814493,-0.633745,0
0.772748,0.439565,0
0.106383,0.276596,0
0.999861,-3.9585,0
1.02082,1.19738,0
0,0,0
2.14894,13.4681,0
0.169307,0.589407,0
0.19083,0.419856,0
0.19083,0.469811,0
0.0124101,0.00912803,0
0.147167,0.256099,0
-1.68348,-0.40311,0
0.654931,0.452835,0
0.0983606,0.0983607,0
0.723423,0.466934,0
1.41494,1.70734,0
0,0,0
2.45902,13.0164,0
1.33029,2.86858,0
0.330833,0.478634,0
0.350569,0.478634,0
0.0126094,0.0126094,0
0.139602,0.139602,0
-0.565833,-0.968501,0
0.652,0.3648,0
0.22,0.28,0
0.508758,1.16488,0
1.57,1.6064,0
0,0,0
2.46,13.16,0
1.5284,2.2144,0
0.323918,0.505532,0
0.347395,0.580762,0
0.0110934,0.00908086,0
0.217114,0.257508,0
-0.549581,-0.480302,0
1,0.915879,0
0,0.0434783,0
0,-0.0223328,0
1,1.02127,0
0,0,0
4,12.0435,0
0,0.0415879,0
-4.34882e-06,0.0776627,0
-4.34882e-06,0.0907466,0
0.0153809,0.0140812,0
-4.34882e-06,0.0776627,0
-0,-0.00460967,0
1,0.955579,0
0,0.0227273,0
0,-5.13886,0
1,1.02221,0
0,0,0
4,12.0227,0
0,0.0222107,0
-4.34882e-06,0.0470998,0
-4.34882e-06,0.0470998,0
0.0153809,0.0146868,0
-4.34882e-06,0.0470998,0
-0,-0.211976,0
1,0.962976,0
0,0.0188679,0
0,-5.11433,0
1,1.01851,0
0,0,0
4,12.0189,0
0,0.0185119,0
-4.34882e-06,0.0406412,0
-4.34882e-06,0.0406412,0
0.0153809,0.0148024,0
-4.34882e-06,0.0406412,0
-0,-0.203546,0
1,0.956543,0
0,0.0222222,0
0,-5.13509,0
1,1.02173,0
0,0,0
4,12.0222,0
0,0.0217284,0
-4.34882e-06,0.0462723,0
-4.34882e-06,0.0462723,0
0.0153809,0.0147018,0
-4.34882e-06,0.0462723,0
-0,-0.210918,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
0,2,0
0,0,0
-4.34882e-06,-4.34882e-06,0
-4.34882e-06,-4.34882e-06,0
0.0153809,0.0153809,0
-4.34882e-06,-4.34882e-06,0
-0,-0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
0,2,0
0,0,0
-4.34882e-06,-4.34882e-06,0
-4.34882e-06,-4.34882e-06,0
0.0153809,0.0153809,0
-4.34882e-06,-4.34882e-06,0
-0,-0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
0,2,0
0,0,0
-4.34882e-06,-4.34882e-06,0
-4.34882e-06,-4.34882e-06,0
0.0153809,0.0153809,0
-4.34882e-06,-4.34882e-06,0
-0,-0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.78125,1,0
0,0,0
0.99994,0,0
1.10938,1,0
0,0,0
1.75,2,0
0.4375,0,0
0.163621,-4.34882e-06,0
0.163621,-4.34882e-06,0
0.0153809,0.0153809,0
-4.34882e-06,-4.34882e-06,0
-0.999864,-0,0
0.722222,1,0
0.166667,0,0
8.19954,0,0
1.13889,1,0
0,0,0
2.5,2,0
0.138889,0,0
0.195668,-4.34882e-06,0
0.195668,-4.34882e-06,0
0.0110406,0.0153809,0
0.195668,-4.34882e-06,0
-0.404663,-0,0
0.555556,1,0
0.333333,0,0
9.99976,0,0
1.22222,1,0
0,0,0
5,2,0
0.222222,0,0
0.276426,-4.34882e-06,0
0.276426,-4.34882e-06,0
0.00843642,0.0153809,0
0.276426,-4.34882e-06,0
-0.637013,-0,0
0.555556,1,0
0.333333,0,0
9.99976,0,0
1.22222,1,0
0,0,0
5,2,0
0.222222,0,0
0.276426,-4.34882e-06,0
0.276426,-4.34882e-06,0
0.00843642,0.0153809,0
0.276426,-4.34882e-06,0
-0.637013,-0,0
0.721191,1,0
0.078125,0,0
0.857091,0,0
1.10938,1,0
0,0,0
5.76562,12,0
0.335693,0,0
0.235246,-4.34882e-06,0
0.258076,-4.34882e-06,0
0.0131302,0.0153809,0
0.11906,-4.34882e-06,0
-0.341938,-0,0
0.584132,1,0
0.236364,0,0
0.268601,0.985674,0
1.1243,1,0
0,0,0
5.72727,12,0
0.234711,9.09495e-13,0
0.274797,-4.29705e-06,0
0.345641,-4.29705e-06,0
0.00974036,0.0153809,0
0.237486,-4.29705e-06,0
-0.00334009,-0,0
0.660165,1,0
0.2,0,0
-0.539964,0.985674,0
1.08264,1,0
0,0,0
5.8,12,0
0.16,9.09495e-13,0
0.217313,-4.29705e-06,0
0.277156,-4.29705e-06,0
0.0103809,0.0153809,0
0.217313,-4.29705e-06,0
-0.0424445,-0,0
0.630315,1,0
0.222222,0,0
-0.983601,0,0
1.08402,1,0
0,0,0
5.77778,12,0
0.17284,0,0
0.23004,-4.34882e-06,0
