value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,activity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555556,0.555556,0.333333,0.333333,2e+10,-1.66666e+10,1,1,0,0,14.3333,11.6667,0.222222,0.222222,0.276426,0.276426,0.276426,0.276426,0.00843642,0.00843642,0.276426,0.276426,319682,319682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0,-0.99996,0,1.25,1,0,0,7,10,0,0,-4.34882e-06,-4.34882e-06,0.301021,-4.34882e-06,0.0153809,0.0153809,-4.34882e-06,-4.34882e-06,-1,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,running
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258681,0.407986,5.20833,0.291667,0.386551,0.294114,8.30165,1.2066,0,0,8.5,11.5833,28.3472,0.534722,0.64026,0.442544,0.64026,0.530336,0.0098877,0.0089247,0.284947,0.262148,-0.657903,-0.0739306,0.241782,0.373265,4.16216,0.405405,0.538864,-3.41146,7.916,1.18992,0,0,9.2973,11.5405,27.4375,0.410519,0.646223,0.414983,0.679915,0.52208,0.00873824,0.00784799,0.325111,0.293202,-0.562628,-0.111913,0.28138,0.377751,1.31707,0.317073,1.01161,-2.55478,9.395,1.20583,0,0,8.39024,11.4878,31.7656,0.542534,0.593653,0.447772,0.629293,0.528676,0.011384,0.00861405,0.209424,0.271271,-0.635579,-0.140467,0.245,0.34625,6.25,0.45,0.942847,-2.33325,10.6244,1.21,0,0,8.75,11.5,29.1875,0.4,0.64889,0.413535,0.676051,0.53858,0.0090332,0.00764648,0.319464,0.298846,-0.564379,-0.0812602,0.690864,1,0.133333,0,2.18409,0,1.13136,1,0,0,7.77778,10,0.261728,0,0.246657,-4.34882e-06,0.272742,-4.34882e-06,0.0117697,0.0153809,0.170528,-4.34882e-06,-0.199044,-0,0.628086,1,0.194444,0,1.7999,0,1.13889,1,0,0,7.75,10,0.243056,0,0.266397,-4.34882e-06,0.316915,-4.34882e-06,0.010486,0.0153809,0.213926,-4.34882e-06,-0.0826654,-0,0.646285,1,0.128205,0,-0.14705,0,1.11177,1,0,0,7.71795,10,0.356345,0,0.279297,-4.34882e-06,0.316765,-4.34882e-06,0.0118881,0.0153809,0.166309,-4.34882e-06,-0.223599,-0,0.677137,1,0.162162,0,-5.8709,0,1.05113,1,0,0,7.78378,10,0.223521,0,0.244336,-4.34882e-06,0.276063,-4.34882e-06,0.0111351,0.0153809,0.192487,-4.34882e-06,-0.448019,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,running
0.260771,0.183673,2.85714,0.857143,0.463826,1.8448,8.46032,2.57823,0,0,6.47619,11.5238,25.1066,5.39229,0.718132,0.704087,0.718132,0.802339,0.00709004,0.00645229,0.500769,0.415042,-0.65779,-0.53066,0.295918,0.173469,2.42857,0.928571,0.586749,1.37708,8.08673,2.51531,0,0,6.57143,11.5,26.102,5.25,0.597592,0.742832,0.597592,0.802063,0.00820611,0.00597397,0.388821,0.43093,-1.24225,-0.544427,0.359375,0.210938,0.625,0.3125,1.06281,0.386183,7.96484,2.52734,0,0,6.75,11.4375,29.0625,6.24609,0.534125,0.670437,0.534125,0.722265,0.0118408,0.00866699,0.201245,0.269726,-1.23824,-0.67642,0.265306,0.204082,3.28571,1,1.3111,-1.14998,6.7398,2.42857,0,0,6.57143,11.4286,25.2449,5.53061,0.667364,0.648989,0.667364,0.7266,0.00677117,0.00581453,0.48966,0.436124,-1.25496,-0.686399,0.525,1,0.15,0,1.26661,0,1.1875,1,0,0,7.55,10,0.5475,0,0.355591,-4.34882e-06,0.397052,-4.34882e-06,0.0113965,0.0153809,0.183572,-4.34882e-06,-0.276446,-0,0.540816,1,0.357143,0,-1.07143e+10,0,1,1,0,0,7.64286,10,0.229592,0,0.283046,-4.34882e-06,0.283046,-4.34882e-06,0.00820612,0.0153809,0.283046,-4.34882e-06,345534,-0,0.555556,1,0.333333,0,-1e+10,0,1,1,0,0,7.66667,10,0.222222,0,0.276426,-4.34882e-06,0.276426,-4.34882e-06,0.00843642,0.0153809,0.276426,-4.34882e-06,319682,-0,0.526627,1,0.384615,0,-1.15385e+10,0,1,1,0,0,7.61539,10,0.236686,0,0.289352,-4.34882e-06,0.289352,-4.34882e-06,0.00798441,0.0153809,0.289352,-4.34882e-06,375670,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,running
0.555556,0.555556,0.333333,0.333333,0,-2e+10,1,1,0,0,2.33333,13.6667,0.222222,0.222222,0.276426,0.276426,0.276426,0.276426,0.00843642,0.00843642,0.276426,0.276426,319682,319682,1,1,0,0,0,0,1,1,0,0,2,14,0,0,-4.34882e-06,-4.34882e-06,-4.34882e-06,-4.34882e-06,0.0153809,0.0153809,-4.34882e-06,-4.34882e-06,-0,-0,1,1,0,0,0,0,1,1,0,0,2,14,0,0,-4.34882e-06,-4.34882e-06,-4.34882e-06,-4.34882e-06,0.0153809,0.0153809,-4.34882e-06,-4.34882e-06,-0,-0,0.555556,0.555556,0.333333,0.333333,-0.499979,8.49966,1.22222,1.22222,0,0,2.33333,13.6667,0.222222,0.222222,0.276426,0.276426,0.276426,0.276426,0.00843642,0.00843642,0.276426,0.276426,-0.637013,-0.637013,0.555556,1,0.333333,0,-1e+10,0,1,1,0,0,7.66667,10,0.222222,0,0.276426,-4.34882e-06,0.276426,-4.34882e-06,0.00843642,0.0153809,0.276426,-4.34882e-06,319682,-0,1,1,0,0,0,0,1,1,0,0,8,10,0,0,-4.34882e-06,-4.34882e-06,-4.34882e-06,-4.34882e-06,0.0153809,0.0153809,-4.34882e-06,-4.34882e-06,-0,-0,0.555556,1,0.333333,0,-1e+10,0,1,1,0,0,7.66667,10,0.222222,0,0.276426,-4.34882e-06,0.276426,-4.34882e-06,0.00843642,0.0153809,0.276426,-4.34882e-06,319682,-0,0.333333,1,0.666667,0,-0.499982,0,1.22222,1,0,0,7.33333,10,0.222222,0,0.276426,-4.34882e-06,0.477108,-4.34882e-06,0.00843642,0.0153809,0.276426,-4.34882e-06,-0.274014,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,running
1,1,0,0,0,0,1,1,0,0,6,12,0,0,-4.34882e-06,-4.34882e-06,-4.34882e-06,-4.34882e-06,0.0153809,0.0153809,-4.34882e-06,-4.34882e-06,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,running
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,running
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,running
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,running
1,0.831612,0,0.0227273,0,2.78837,1,1.06353,0,0,8,12.1591,0,0.270145,-4.34882e-06,0.15449,-4.34882e-06,0.15449,0.0153809,0.0146868,-4.34882e-06,0.0470998,-0,-0.809045,1,0.843265,0,0.0857143,0,-5.56212,1,1.07837,0,0,8,12.0857,0,0.0783674,-4.34882e-06,0.127026,-4.34882e-06,0.127026,0.0153809,0.0129319,-4.34882e-06,0.127026,-0,-0.306372,1,0.78696,0,0.121212,0,-5.82712,1,1.10652,0,0,8,12.1212,0,0.10652,-4.34882e-06,0.160391,-4.34882e-06,0.160391,0.0153809,0.0120521,-4.34882e-06,0.160391,-0,-0.349863,1,0.775234,0,0.129032,0,-5.88843,1,1.11238,0,0,8,12.129,0,0.112383,-4.34882e-06,0.166996,-4.34882e-06,0.166996,0.0153809,0.0118689,-4.34882e-06,0.166996,-0,-0.35927,1,0.32964,0,0.421053,0,2.59993,1,1.52632,0,0,14,12.2105,0,1.63989,-4.34882e-06,0.416555,-4.34882e-06,0.535765,0.0153809,0.0124376,-4.34882e-06,0.14613,-0,-0.832345,1,0.342222,0,0.666667,0,1.57687,1,1.46222,0,0,14,12.2667,0,0.862222,-4.34882e-06,0.429133,-4.34882e-06,0.57401,0.0153809,0.00871419,-4.34882e-06,0.332116,-0,-0.561277,1,0.505917,0,0.230769,0,0.490179,1,1.30177,0,0,14,12.1538,0,0.822485,-4.34882e-06,0.379117,-4.34882e-06,0.444552,0.0153809,0.0120987,-4.34882e-06,0.187199,-0,-0.608786,1,0.397959,0,0.0714286,0,-0.0500045,1,1.40816,0,0,14,12.2143,0,1.45408,-4.34882e-06,0.484815,-4.34882e-06,0.484815,0.0153809,0.0133082,-4.34882e-06,0.111743,-0,-0.780022,0.167949,0.266279,0.808219,0.30137,0.728126,0.382468,2.36048,1.62113,0,0,5.79452,11.6712,3.45093,1.78232,0.810976,0.639605,0.839334,0.67259,0.00834976,0.0104608,0.299757,0.2337,-0.53514,-0.502181,0.171667,0.218333,0.9,0.483333,0.607833,0.281144,2.4875,1.69556,0,0,5.63333,11.85,3.56556,1.59417,0.812003,0.680918,0.839642,0.752607,0.00846246,0.00809787,0.299488,0.31027,-0.558809,-0.35111,0.171563,0.236875,1.1,0.475,0.537058,0.520691,2.43109,1.59984,0,0,5.5,11.775,4.35,1.72438,0.803251,0.672469,0.863439,0.745869,0.00977539,0.00895508,0.265624,0.291808,-0.581947,-0.36575,0.157227,0.228516,0.921875,0.4375,0.229838,1.31644,1.81152,1.44434,0,0,5.70312,11.75,3.45874,1.5625,0.826836,0.670422,0.849571,0.748433,0.00788116,0.00852203,0.315509,0.296663,-0.680121,-0.416963,0.608733,0.966676,0.0847458,0.0169492,0.329521,-8.47454e+08,1.15168,1,0,0,9.61017,11.9831,0.542947,0.0166619,0.305117,0.0373039,0.329883,0.0373039,0.012957,0.0148602,0.126028,0.0373039,-0.472699,10908.1,0.643277,0.958352,0.12766,0.0212766,-5.55763,-54975,1.07786,1,0,0,9.70213,11.9787,0.379357,0.0208239,0.286965,0.0447092,0.286965,0.0447092,0.0119008,0.0147301,0.165854,0.0447092,-0.771037,14351.6,0.54,0.785,0.1,0.0666667,-1.49993,0.563533,1.16,1.07639,0,0,9.5,11.8333,0.65,0.238889,0.348212,0.191034,0.348212,0.211099,0.0125684,0.0134364,0.141173,0.106363,-0.674641,-0.305101,0.595586,0.926664,0.132075,0.0377358,-2.45641,-0.0194736,1.11463,1.01851,0,0,9.64151,11.9623,0.45639,0.0363119,0.315452,0.069774,0.338971,0.0811293,0.0117986,0.0142461,0.169502,0.069774,-0.455159,-0.0038733,running
1,1,0,0,0,0,1,1,0,0,8,12,0,0,-4.34882e-06,-4.34882e-06,-4.34882e-06,-4.34882e-06,0.0153809,0.0153809,-4.34882e-06,-4.34882e-06,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,8,12,0,0,-4.34882e-06,-4.34882e-06,-4.34882e-06,-4.34882e-06,0.0153809,0.0153809,-4.34882e-06,-4.34882e-06,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119407,0.260234,7.2872,0.370242,0.504473,-0.014443,9.98004,1.44001,0,0,5.30104,12.5156,28.0344,1.5854,0.936544,0.629745,1.08886,0.727121,0.00651296,0.00924206,0.54887,0.283379,-0.391315,-0.360347,0.108304,0.238015,7.88848,0.408922,0.43603,-0.381576,10.0965,1.46011,0,0,5.35316,12.5353,27.821,1.59448,0.939007,0.642924,1.11236,0.759636,0.00577581,0.0085583,0.575678,0.307852,-0.326111,-0.293394,0.167776,0.294934,3.22615,0.272085,0.779067,0.343218,9.86082,1.5165,0,0,4.85159,12.477,32.1818,1.79718,0.850519,0.611865,0.935716,0.683647,0.0103174,0.0105468,0.330371,0.234637,-0.606164,-0.470913,0.113361,0.241811,7.74444,0.392593,0.62549,0.760581,9.69295,1.55694,0,0,5.27778,12.5185,27.7117,1.62003,0.949396,0.644637,1.09954,0.750006,0.00608431,0.00875234,0.572881,0.296499,-0.340614,-0.295495,0.693716,0.747856,0.134276,0.109541,1.32214,1.81425,1.14257,1.06942,0,0,7.76678,10.0954,0.320169,0.213512,0.256272,0.234404,0.2908,0.265545,0.0117482,0.0123327,0.171292,0.150063,-0.180874,-0.167693,0.684974,0.736905,0.1673,0.121673,1.1348,1.58837,1.14096,1.07107,0,0,7.77186,10.0913,0.282554,0.2046,0.253628,0.239546,0.301129,0.274796,0.0114855,0.0120412,0.1923,0.160787,-0.101966,-0.114328,0.671664,0.756606,0.136201,0.0824373,0.484838,0.710608,1.13916,1.08672,0,0,7.7276,10.1111,0.406084,0.270808,0.27903,0.232646,0.319841,0.257394,0.0117043,0.0130171,0.172843,0.123627,-0.219165,-0.315294,0.677483,0.739669,0.157895,0.12406,-1.47306,-0.676377,1.08208,1.08746,0,0,7.76692,10.0865,0.284018,0.191772,0.257607,0.235301,0.302231,0.271744,0.0114541,0.0119849,0.188592,0.162824,-0.242418,-0.0711272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,running
