angles,magnitudes,activity
0.445069,0.887543,2
0.0735294,0.0588235,2
2.16504,0.36644,2
1.27768,1.13927,2
0,0,2
11.4265,2.11765,2
1.09753,0.280277,2
0.443009,0.114854,2
0.443009,0.114854,2
0.013252,0.0136508,2
0.114069,0.0971508,2
-0.757196,-0.613431,2
0.431629,0.869203,2
0.137931,0.0689655,2
4.06093,0.360276,2
1.21403,1.16171,2
0,0,2
11.5172,2.13793,2
1.00832,0.325803,2
0.442597,0.129736,2
0.442597,0.129736,2
0.011665,0.0133743,2
0.174226,0.10898,2
-2.10892,-0.618717,2
0.419922,0.880859,2
0.09375,0,2
1.39995,0.999948,2
1.3125,1.14746,2
0,0,2
11.5312,2.1875,2
1.24902,0.589844,2
0.441812,0.120336,2
0.467723,0.120336,2
0.0127258,0.0153809,2
0.135113,-4.34882e-06,2
-0.789748,-0.99788,2
0.407848,0.869203,2
0.103448,0.0689655,2
1.64154,2.03549,2
1.26873,1.03329,2
0,0,2
11.4828,2.13793,2
1.21522,0.325803,2
0.481129,0.129736,2
0.481129,0.129736,2
0.0124825,0.0133743,2
0.144435,0.10898,2
-0.837273,-1.87308,2
0.464178,0.973689,2
0.226667,0.0133333,2
0.725751,-0.0135112,2
1.19449,1.01316,2
0,0,2
12.44,2.01333,2
0.513067,0.0131556,2
0.399394,0.0307439,2
0.46361,0.0307439,2
0.00990308,0.0149697,2
0.232433,0.0307439,2
-0.138877,-0.189612,2
0.438615,0.95457,2
0.348837,0.0232558,2
8.24143,-0.0238064,2
1.10276,1.02271,2
0,0,2
12.3953,2.02326,2
0.378583,0.022715,2
0.390726,0.0479605,2
0.46419,0.0479605,2
0.00828243,0.014671,2
0.28086,0.0479605,2
-0.804905,-0.21307,2
0.522985,0.95457,2
0.27907,0.0232558,2
18.5575,-0.0238064,2
1.0649,1.02271,2
0,0,2
12.3721,2.02326,2
0.326663,0.022715,2
0.332019,0.0479605,2
0.366778,0.0479605,2
0.00909368,0.014671,2
0.257125,0.0479605,2
-1.04253,-0.21307,2
0.4975,0.95125,2
0.35,0.025,2
32.0518,-0.0256377,2
1.0475,1.02438,2
0,0,2
12.4,2.025,2
0.29,0.024375,2
0.32719,0.0507633,2
0.366299,0.0507633,2
0.00827148,0.0146191,2
0.281174,0.0507633,2
-2.2003,-0.216596,2
0.524898,1,2
0.314286,0,2
0.999974,0,2
1.16816,1,2
0,0,2
11.9143,2,2
0.421224,0,2
0.375869,-4.34882e-06,2
0.487407,-4.34882e-06,2
0.00969208,0.0153809,2
0.27084,-4.34882e-06,2
-0.155915,-0,2
0.68595,1,2
0.0909091,0,2
3.44423,0,2
1.14876,1,2
0,0,2
11.7273,2,2
0.380165,0,2
0.260636,-4.34882e-06,2
