value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,activity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,handwaving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,handwaving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,handwaving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,1,1,0,0,0,0,1,1,0,0,6,8,0,0,-4.34882e-06,-4.34882e-06,-4.34882e-06,-4.34882e-06,0.0153809,0.0153809,-4.34882e-06,-4.34882e-06,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,handwaving
0.5,1,0.5,0,-12.9995,0,1.25,1,0,0,14.5,2,0.25,0,0.301021,-4.34882e-06,0.301021,-4.34882e-06,0.00756836,0.0153809,0.301021,-4.34882e-06,-1,-0,0.388889,1,0.166667,0,-3.66651,0,1.25,1,0,0,9.5,2,0.805556,0,0.439234,-4.34882e-06,0.439234,-4.34882e-06,0.0110406,0.0153809,0.195668,-4.34882e-06,-0.540853,-0,0.388889,1,0.333333,0,15.3995,0,1.13889,1,0,0,12,2,0.555556,0,0.439234,-4.34882e-06,0.439234,-4.34882e-06,0.00843642,0.0153809,0.276426,-4.34882e-06,-0.945832,-0,0.625,1,0.75,0,4.5e+10,0,1,1,0,0,14.75,2,0.1875,0,0.24421,-4.34882e-06,0.24421,-4.34882e-06,0.00952148,0.0153809,0.24421,-4.34882e-06,806147,-0,1,0.35875,0,0.175,0,1.40095,1,1.24938,0,0,6,7.025,0,0.824375,-4.34882e-06,0.449566,-4.34882e-06,0.495031,0.0153809,0.0108691,-4.34882e-06,0.201385,-0,-0.363371,1,0.353395,0,0.222222,0,2.82846,1,1.24306,0,0,6,7.05556,0,0.774691,-4.34882e-06,0.463307,-4.34882e-06,0.463307,0.0153809,0.00997962,-4.34882e-06,0.23004,-0,-0.539346,1,0.429323,0,0.102564,0,1.82532,1,1.24852,0,0,6,7.17949,0,0.86522,-4.34882e-06,0.405907,-4.34882e-06,0.405907,0.0153809,0.0125045,-4.34882e-06,0.143604,-0,-0.622874,1,0.367326,0,0.16129,0,0.99996,1,1.24974,0,0,6,7.06452,0,0.834547,-4.34882e-06,0.443258,-4.34882e-06,0.490396,0.0153809,0.0111535,-4.34882e-06,0.191864,-0,-0.366663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,handwaving
1,0.405896,0,0.142857,0,0.999958,1,1.22222,0,0,10,2.80952,0,0.820862,-4.34882e-06,0.426855,-4.34882e-06,0.426855,0.0153809,0.0115543,-4.34882e-06,0.178103,-0,-0.611365,1,0.430556,0,0.166667,0,0.999954,1,1.1875,0,0,10,2.66667,0,0.722222,-4.34882e-06,0.416742,-4.34882e-06,0.416742,0.0153809,0.0110406,-4.34882e-06,0.195668,-0,-0.619098,1,0.555556,0,0,0,0.999958,1,1.22222,0,0,10,2.66667,0,0.888889,-4.34882e-06,0.276426,-4.34882e-06,0.276426,0.0153809,0.0153809,-4.34882e-06,-4.34882e-06,-0,-0.999992,1,0.432892,0,0.0869565,0,0.651489,1,1.24953,0,0,10,2.86957,0,0.89603,-4.34882e-06,0.399088,-4.34882e-06,0.399088,0.0153809,0.0128998,-4.34882e-06,0.128299,-0,-0.661479,1,0.489385,0,0.0655738,0.960265,0.082704,1,1.21446,0,0,6,7.31147,2.27374e-13,0.837409,-4.29705e-06,0.36341,-4.29705e-06,0.36341,0.0153809,0.0134661,-4.29705e-06,0.105106,-0,-0.734757,1,0.516,0,0.06,0,0.61902,1,1.21,0,0,6,7.38,0,0.7956,-4.34882e-06,0.347195,-4.34882e-06,0.363776,0.0153809,0.0136184,-4.34882e-06,0.0985621,-0,-0.65647,1,0.516033,0,0.0545455,0.960265,1.48239,1,1.22612,0,0,6,7.36364,2.27374e-13,0.813223,-4.29705e-06,0.345365,-4.29705e-06,0.345365,0.0153809,0.0137693,-4.29705e-06,0.0919261,-0,-0.712171,1,0.44513,0,0.12963,0,2.07378,1,1.24143,0,0,6,7.31482,0,0.771262,-4.34882e-06,0.404198,-4.34882e-06,0.404198,0.0153809,0.0118551,-4.34882e-06,0.167491,-0,-0.551119,1,1,0,0,0,0,1,1,0,0,6,8,0,0,-4.34882e-06,-4.34882e-06,-4.34882e-06,-4.34882e-06,0.0153809,0.0153809,-4.34882e-06,-4.34882e-06,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,handwaving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,handwaving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,handwaving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,handwaving
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,handwaving
