angles,magnitudes,activity
0.55102,0.473923,0
0.142857,0.0952381,0
1.69992,0.999956,0
1.20408,1.20408,0
0,0,0
5.57143,2.66667,0
0.530612,0.793651,0
0.345821,0.381624,0
0.345821,0.381624,0
0.0115543,0.0126881,0
0.178103,0.136574,0
-0.450181,-0.677028,0
0.561225,0.428571,0
0.0714286,0.142857,0
0.151507,0.999956,0
1.16837,1.20408,0
0,0,0
5.5,2.71429,0
0.678571,0.77551,0
0.329589,0.415042,0
0.329589,0.415042,0
0.0133082,0.0115543,0
0.111743,0.178103,0
-0.717908,-0.621337,0
0.471074,0.603306,0
0.181818,0,0
-1.44437,0.999955,0
1.14876,1.19835,0
0,0,0
5.45455,2.54545,0
0.61157,0.793388,0
0.394125,0.254467,0
0.394125,0.254467,0
0.0107321,0.0153809,0
0.205907,-4.34882e-06,0
-0.662629,-0.999982,0
0.479592,0.5,0
0.214286,0.0714286,0
-2.49987,0.68886,0
1.12245,1.22959,0
0,0,0
5.5,2.64286,0
0.535714,0.80102,0
0.387429,0.360656,0
0.387429,0.360656,0
0.0101194,0.0133082,0
0.225642,0.111743,0
-0.760789,-0.66138,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
8,2,0
0,0,0
-4.34882e-06,-4.34882e-06,0
-4.34882e-06,-4.34882e-06,0
0.0153809,0.0153809,0
-4.34882e-06,-4.34882e-06,0
-0,-0,0
1,1,0
1,0,0
2e+10,0,0
1,1,0
0,0,0
7,2,0
0,0,0
-4.34882e-06,-4.34882e-06,0
-4.34882e-06,-4.34882e-06,0
0.0153809,0.0153809,0
-4.34882e-06,-4.34882e-06,0
1.14974e+06,-0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.5,1,0
26,16,0
-3.5e+11,-1.6e+11,0
1,1,0
0,0,0
11,6,0
1,0,0
0.301021,-4.34882e-06,0
0.301021,-4.34882e-06,0
0.00756836,0.0153809,0
0.301021,-4.34882e-06,0
1.08052e+06,1.14974e+06,0
0.685733,0.324129,0
0.102564,0.230769,0
0.721381,-0.0263226,0
1.09204,1.24984,0
0,0,0
2.25641,12.9487,0
0.34451,0.766601,0
0.257605,0.465413,0
0.282649,0.534257,0
0.0125045,0.00983352,0
0.143604,0.234599,0
-0.367981,-0.222443,0
0.603306,0.28191,0
0.242424,0.30303,0
-0.137923,-0.819816,0
1.10652,1.24977,0
0,0,0
2.24242,12.9697,0
0.183655,0.817264,0
0.240529,0.518688,0
0.313502,0.60005,0
0.00964165,0.00878077,0
0.240529,0.266392,0
-0.0454079,-0.448281,0
0.615556,0.473333,0
0.233333,0.0333333,0
-0.153837,0.196402,0
1.11556,1.24889,0
0,0,0
2.23333,12.9,0
0.178889,0.956667,0
0.235932,0.352202,0
0.30513,0.352202,0
0.00979058,0.0143739,0
0.235932,0.0634612,0
-0.0517936,-0.819768,0
0.575556,0.366667,0
0.266667,0.166667,0
-0.199989,-0.0714449,0
1.13889,1.24889,0
0,0,0
2.26667,12.9,0
0.195556,0.823333,0
0.251845,0.443909,0
0.328458,0.492619,0
0.00926975,0.0110406,0
0.251845,0.195668,0
-0.0832214,-0.351797,0
1,0.709032,0
0,0.116279,0
0,-0.669914,0
1,1.11141,0
0,0,0
4,12.1163,0
0,0.288805,0
-4.34882e-06,0.249225,0
-4.34882e-06,0.283207,0
0.0153809,0.0121697,0
-4.34882e-06,0.156096,0
-0,-0.312072,0
0.896275,0.802776,0
0.027027,0.0810811,0
2.02753,-3.62468,0
1.0263,1.10519,0
0,0,0
4.08108,12.027,0
0.128561,0.188459,0
0.107584,0.175153,0
0.107584,0.175153,0
0.0145591,0.0130525,0
0.0539528,0.122203,0
-0.782776,-0.517105,0
0.94449,0.742041,0
0.0285714,0.114286,0
-1.0587,-6.40391,0
1.02776,1.0849,0
0,0,0
4.02857,11.9429,0
0.0277551,0.225306,0
0.056337,0.243543,0
0.056337,0.243543,0
0.0145135,0.0122176,0
0.056337,0.154332,0
-0.223456,-0.497273,0
0.83391,0.83564,0
0.0588235,0.0588235,0
0.468709,-3.03942,0
1.05536,1.08737,0
0,0,0
4.11765,12,0
0.16263,0.176471,0
0.153987,0.153987,0
0.171691,0.153987,0
0.0136508,0.0136508,0
0.0971508,0.0971508,0
-0.232448,-0.544444,0
0.738754,0.517301,0
0.147059,0.235294,0
-0.8279,0.282688,0
1.08045,1.20502,0
0,0,0
6.14706,3.94118,0
0.125433,0.467128,0
0.181341,0.394598,0
0.22432,0.461964,0
0.0114611,0.00975802,0
0.181341,0.23694,0
-0.0390062,-0.1749,0
0.735,0.58,0
0.15,0.2,0
-1.22216,-0.355915,0
1.09,1.1475,0
0,0,0
6.15,4,0
0.1275,0.4,0
0.183572,0.347376,0
0.225032,0.388837,0
0.0113965,0.0103809,0
0.183572,0.217313,0
-0.0680522,-0.338625,0
0.756198,0.491736,0
0.136364,0.227273,0
-1.19993,-0.249988,0
1.08264,1.18182,0
0,0,0
6.13636,3.86364,0
0.117769,0.572314,0
0.172974,0.42073,0
0.210665,0.458421,0
0.0117006,0.00989274,0
0.172974,0.232756,0
-0.0640403,-0.407409,0
0.765596,0.512287,0
0.130435,0.26087,0
-1.19039,-1.02935,0
1.0794,1.12854,0
0,0,0
6.13043,3.91304,0
0.113422,0.427221,0
0.168155,0.399595,0
0.204208,0.435648,0
0.0118364,0.00935534,0
0.168155,0.249261,0
-0.0623245,-0.484258,0
0.964924,0.44898,0
0.875,0.214286,0
-0.0181814,0.508749,0
1.85938,1.21811,0
0,0,0
2.125,12.3571,0
0.859375,0.658163,0
0.0388945,0.422313,0
0.0388945,0.486815,0
0.0148328,0.0101194,0
0.0388945,0.225642,0
