value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,activity
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,running
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0.95125,0.64125,0,0.025,0.999872,0.426499,1.02437,1.17438,0,0,9.95,8.425,0.0975,0.644375,0.0507633,0.265624,0.0507633,0.265624,0.0153809,0.0146191,-4.34882e-06,0.0507633,-0.996859,-0.794783,0.848064,0.60263,0.0540541,0.135135,-7.22194,-1.9364,1.0263,1.18408,0,0,9.89189,8.35135,0.150475,0.44412,0.144612,0.313499,0.144612,0.313499,0.013783,0.0117286,0.0913162,0.171986,-0.876002,-0.422349,0.891776,0.555714,0.0377358,0.113208,-7.15199,-1.23154,1.01851,1.20292,0,0,9.92453,8.45283,0.107512,0.587398,0.110101,0.341454,0.110101,0.341454,0.0142461,0.0122436,0.069774,0.153371,-0.878745,-0.503667,0.948753,0.549862,0.0263158,0.105263,-1.05264e+09,-1.04708,1,1.20568,0,0,9.97368,8.47368,0.0256233,0.617729,0.0528417,0.343698,0.0528417,0.343698,0.0145801,0.0124376,0.0528417,0.14613,18104.5,-0.527547,0.503797,1,0.0343137,0,0.418783,0,1.23616,1,0,0,8.73039,8,0.892998,0,0.33902,-4.34882e-06,0.33902,-4.34882e-06,0.0143454,0.0153809,0.0648885,-4.34882e-06,-0.801714,-0,0.44,1,0.136842,0,-0.0993244,0,1.22981,1,0,0,8.66316,8,0.749695,0,0.403872,-4.34882e-06,0.440551,-4.34882e-06,0.0116897,0.0153809,0.173357,-4.34882e-06,-0.397414,-0,0.457885,1,0.108374,0,0.604774,0,1.22437,1,0,0,8.66995,8,0.782693,0,0.39023,-4.34882e-06,0.422654,-4.34882e-06,0.0123612,0.0153809,0.148999,-4.34882e-06,-0.471425,-0,0.45108,1,0.115789,0,1.07177,0,1.21983,1,0,0,8.67368,8,0.777729,0,0.395055,-4.34882e-06,0.429071,-4.34882e-06,0.0121814,0.0153809,0.155665,-4.34882e-06,-0.459718,-0,running
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0.356011,0.387923,0.189474,0.221053,1.14412,0.709454,1.29208,1.28986,0,0,5.09474,3.18947,0.885762,0.827258,0.478471,0.424084,0.519598,0.462467,0.0105817,0.0111357,0.210823,0.216337,-0.36944,-0.539652,0.349008,0.383507,0.217391,0.25,1.37092,0.663253,1.29301,1.29052,0,0,5.1087,3.18478,0.901229,0.84629,0.494408,0.415517,0.532481,0.493613,0.0100642,0.0112272,0.227382,0.219535,-0.382224,-0.492422,0.447136,0.44406,0.0588235,0.107843,1.14588,0.80449,1.26874,1.25077,0,0,5.09804,3.26471,1.04921,0.939735,0.407626,0.396442,0.407626,0.435848,0.0136508,0.0131011,0.0971508,0.132217,-0.765005,-0.657757,0.340494,0.381975,0.211111,0.266667,0.316788,0.153433,1.24395,1.21,0,0,5.1,3.26667,0.867778,0.751111,0.486384,0.431629,0.541957,0.471946,0.0101764,0.0102574,0.223838,0.247608,-0.502268,-0.798805,0.470289,0.581334,0.0894309,0.00813008,-0.700779,1.11976,1.21032,1.20358,0,0,9.30894,8.57724,0.815123,0.81314,0.381694,0.278668,0.381694,0.278668,0.0128361,0.0151289,0.130809,0.0204989,-0.686145,-0.938062,0.427898,0.577954,0.205607,0.0654206,-0.931888,-0.324479,1.18866,1.19757,0,0,9.42056,8.47663,0.617521,0.660669,0.408873,0.318788,0.464721,0.318788,0.0102767,0.0134702,0.220647,0.104929,-0.249393,-0.63285,0.45821,0.576324,0.147541,0.0737705,0.645324,-0.495377,1.20801,1.19733,0,0,9.40984,8.46721,0.684493,0.642368,0.393711,0.322339,0.438121,0.322339,0.0114505,0.0132456,0.181709,0.114334,-0.336986,-0.603103,0.417524,0.578361,0.194444,0.0740741,1.57549,-0.508486,1.22522,1.19642,0,0,9.37963,8.46296,0.661437,0.637517,0.415986,0.321338,0.469733,0.321338,0.010486,0.0132375,0.213926,0.114668,-0.251425,-0.600547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,running
0.860082,0.434842,0.037037,0.185185,-4.19153,-0.0714251,1.03567,1.17284,0,0,11.8889,3.37037,0.17284,0.677641,0.136962,0.415437,0.136962,0.415437,0.0142663,0.0106655,0.0687882,0.20809,-0.769211,-0.632,0.913223,0.442149,0,0.136364,0.999904,0.312486,1.04339,1.19835,0,0,11.9091,3.31818,0.173554,0.762397,0.0802956,0.406885,0.0802956,0.406885,0.0153809,0.0117006,-4.34882e-06,0.172974,-0.998972,-0.629273,0.826172,0.460938,0.0625,0.0625,3.94226,0.99996,1.08496,1.24609,0,0,11.875,3.1875,0.171875,0.902344,0.161024,0.375539,0.161024,0.375539,0.0135498,0.0135498,0.101526,0.101526,-0.352414,-0.715271,0.9232,0.4112,0.04,0.24,5.16591,0.99996,1.0384,1.2464,0,0,11.96,3.36,0.0384,0.6304,0.0729285,0.429545,0.0729285,0.429545,0.0141809,0.00968086,0.0729285,0.239322,-0.243093,-0.473647,0.460068,1,0.16129,0,0.834794,0,1.1953,1,0,0,4.56452,4,0.649063,0,0.39275,-4.34882e-06,0.439889,-4.34882e-06,0.0111535,0.0153809,0.191864,-4.34882e-06,-0.30816,-0,0.445987,1,0.18018,0,1.24465,0,1.18408,1,0,0,4.57658,4,0.640532,0,0.401756,-4.34882e-06,0.445755,-4.34882e-06,0.0107648,0.0153809,0.204834,-4.34882e-06,-0.334168,-0,0.515117,1,0.0634921,0,1.31642,0,1.20062,1,0,0,4.61905,4,0.791383,0,0.349956,-4.34882e-06,0.349956,-4.34882e-06,0.0135227,0.0153809,0.102689,-4.34882e-06,-0.738795,-0,0.447713,1,0.173913,0,0.823311,0.922852,1.1969,1,0,0,4.57391,4,0.644537,5.68434e-14,0.399221,-4.29705e-06,0.450049,-4.29705e-06,0.0108913,0.0153809,0.200651,-4.29705e-06,-0.281396,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,running
0.33391,1,0.147059,0,-0.844333,0,1.36678,1,0,0,10.7941,2,1.51644,0,0.554192,-4.34882e-06,0.554192,-4.34882e-06,0.0114611,0.0153809,0.181341,-4.34882e-06,-0.68813,-0,0.357907,1,0.137931,0,-0.067477,0,1.38763,1,0,0,10.8966,2,1.26516,0,0.518654,-4.34882e-06,0.518654,-4.34882e-06,0.011665,0.0153809,0.174226,-4.34882e-06,-0.620401,-0,0.401662,1,0.105263,0,1.75299,0,1.45429,1,0,0,10.9474,2,1.41828,0,0.476256,-4.34882e-06,0.476256,-4.34882e-06,0.0124376,0.0153809,0.14613,-4.34882e-06,-0.721748,-0,0.326667,1,0.233333,0,2.67825,0,1.47667,1,0,0,10.8333,2,1.27222,0,0.533075,-4.34882e-06,0.533075,-4.34882e-06,0.00979058,0.0153809,0.235932,-4.34882e-06,-0.606148,-0,1,1,0,0,0,0,1,1,0,0,8,10,0,0,-4.34882e-06,-4.34882e-06,-4.34882e-06,-4.34882e-06,0.0153809,0.0153809,-4.34882e-06,-4.34882e-06,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,running
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0.382716,0.62963,0.222222,1.11111,-1.49994,0.0859361,1.22222,2.58025,0,0,6.44444,2.66667,0.91358,2.44444,0.499013,0.296931,0.499013,0.296931,0.00997962,0.00959382,0.23004,0.296931,-1.94199,-0.683684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,running
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,running
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,running
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,running
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,-0,-0,0,0,0.857988,0.727811,0.0769231,0.153846,4.24973,-0.0833192,1.07101,1.07101,0,0,9.92308,9.84615,0.0710059,0.130178,0.117767,0.186444,0.117767,0.232752,0.0131619,0.0113128,0.117767,0.186444,-0.29517,-0.0236611,0.78125,0.78125,0.125,0.125,4.4283,4.4283,1.10938,1.10938,0,0,9.875,9.875,0.109375,0.109375,0.163621,0.163621,0.163621,0.163621,0.0119629,0.0119629,0.163621,0.163621,-0.354422,-0.354422,0.882812,0.882812,0.0625,0.0625,4.19965,4.19965,1.05859,1.05859,0,0,9.9375,9.9375,0.0585938,0.0585938,0.101526,0.101526,0.101526,0.101526,0.0135498,0.0135498,0.101526,0.101526,-0.276069,-0.276069,0.82,0.66,0.1,0.2,4.33308,-0.111107,1.09,1.09,0,0,9.9,9.8,0.09,0.16,0.141173,0.217313,0.141173,0.277515,0.0125684,0.0103809,0.141173,0.217313,-0.324117,-0.0342454,0.583103,0.884734,0.114035,0.0614035,1.66694,1.84211e+09,1.14466,1,0,0,8.39474,8.0614,0.519621,0.0576331,0.322262,0.100232,0.352827,0.100232,0.0122236,0.0135798,0.154109,0.100232,-0.396674,47548.9,0.6198,0.8872,0.13,0.06,5.33303,1.8e+09,1.09,1,0,0,8.33,8.06,0.4211,0.0564,0.302576,0.0985621,0.302576,0.0985621,0.0118465,0.0136184,0.167797,0.0985621,-0.73516,46319.2,0.613458,0.891863,0.0894309,0.00813008,3.14742,1.52552,1.12493,1.0464,0,0,8.38211,8.10569,0.528786,0.192081,0.305142,0.104965,0.305142,0.104965,0.0128361,0.0151289,0.130809,0.0204989,-0.690955,-0.882861,0.60157,0.884734,0.149123,0.0614035,1.13821,-3.26139,1.12688,1.05763,0,0,8.32456,8.0614,0.39466,0.0576331,0.305525,0.100232,0.349397,0.100232,0.0114157,0.0135798,0.182909,0.100232,-0.198542,-0.274569,running
