angles,magnitudes,activity
0.915984,1,4
0.0434783,0,4
-1.02924,0,4
1.01428,1,4
0,0,4
3.95652,2,4
0.0415879,0,4
0.0776627,-4.34882e-06,4
0.0896772,-4.34882e-06,4
0.0140812,0.0153809,4
0.0776627,-4.34882e-06,4
-0.080875,-0,4
0.887543,1,4
0.0588235,0,4
-0.0303012,0,4
1.02855,1,4
0,0,4
3.94118,2,4
0.0553633,0,4
0.0971508,-4.34882e-06,4
0.114854,-4.34882e-06,4
0.0136508,0.0153809,4
0.0971508,-4.34882e-06,4
-0.00671398,-0,4
0.941231,1,4
0.030303,0,4
0.999883,0,4
1.02938,1,4
0,0,4
3.9697,2,4
0.0293848,0,4
0.0589659,-4.34882e-06,4
0.0589659,-4.34882e-06,4
0.0144626,0.0153809,4
0.0589659,-4.34882e-06,4
-0.226634,-0,4
0.928669,1,4
0.037037,0,4
0.999894,0,4
1.03567,1,4
0,0,4
3.96296,2,4
0.0356653,0,4
0.0687881,-4.34882e-06,4
0.0687881,-4.34882e-06,4
0.0142663,0.0153809,4
0.0687881,-4.34882e-06,4
-0.238269,-0,4
1,1,4
0,0,4
0,0,4
1,1,4
0,0,4
10,2,4
0,0,4
-4.34882e-06,-4.34882e-06,4
-4.34882e-06,-4.34882e-06,4
0.0153809,0.0153809,4
-4.34882e-06,-4.34882e-06,4
-0,-0,4
1,1,4
0,0,4
0,0,4
1,1,4
0,0,4
10,2,4
0,0,4
-4.34882e-06,-4.34882e-06,4
-4.34882e-06,-4.34882e-06,4
0.0153809,0.0153809,4
-4.34882e-06,-4.34882e-06,4
-0,-0,4
1,1,4
0,0,4
0,0,4
1,1,4
0,0,4
10,2,4
0,0,4
-4.34882e-06,-4.34882e-06,4
-4.34882e-06,-4.34882e-06,4
0.0153809,0.0153809,4
-4.34882e-06,-4.34882e-06,4
-0,-0,4
1,1,4
0,0,4
0,0,4
1,1,4
0,0,4
10,2,4
0,0,4
-4.34882e-06,-4.34882e-06,4
-4.34882e-06,-4.34882e-06,4
0.0153809,0.0153809,4
-4.34882e-06,-4.34882e-06,4
-0,-0,4
1,1,4
0,0,4
0,0,4
1,1,4
0,0,4
0,2,4
0,0,4
-4.34882e-06,-4.34882e-06,4
-4.34882e-06,-4.34882e-06,4
0.0153809,0.0153809,4
-4.34882e-06,-4.34882e-06,4
-0,-0,4
1,1,4
0,0,4
0,0,4
1,1,4
0,0,4
0,2,4
0,0,4
-4.34882e-06,-4.34882e-06,4
-4.34882e-06,-4.34882e-06,4
0.0153809,0.0153809,4
-4.34882e-06,-4.34882e-06,4
-0,-0,4
1,1,4
0,0,4
0,0,4
1,1,4
0,0,4
0,2,4
0,0,4
-4.34882e-06,-4.34882e-06,4
-4.34882e-06,-4.34882e-06,4
0.0153809,0.0153809,4
-4.34882e-06,-4.34882e-06,4
-0,-0,4
1,1,4
0,0,4
0,0,4
1,1,4
0,0,4
0,2,4
0,0,4
-4.34882e-06,-4.34882e-06,4
-4.34882e-06,-4.34882e-06,4
0.0153809,0.0153809,4
-4.34882e-06,-4.34882e-06,4
-0,-0,4
1,1,4
0,0,4
0,0,4
1,1,4
0,0,4
2,2,4
0,0,4
-4.34882e-06,-4.34882e-06,4
-4.34882e-06,-4.34882e-06,4
0.0153809,0.0153809,4
-4.34882e-06,-4.34882e-06,4
-0,-0,4
1,1,4
0,0,4
0,0,4
1,1,4
0,0,4
2,2,4
0,0,4
-4.34882e-06,-4.34882e-06,4
-4.34882e-06,-4.34882e-06,4
0.0153809,0.0153809,4
-4.34882e-06,-4.34882e-06,4
-0,-0,4
1,1,4
0,0,4
0,0,4
1,1,4
0,0,4
2,2,4
0,0,4
-4.34882e-06,-4.34882e-06,4
-4.34882e-06,-4.34882e-06,4
0.0153809,0.0153809,4
-4.34882e-06,-4.34882e-06,4
-0,-0,4
1,1,4
0,0,4
0,0,4
1,1,4
0,0,4
2,2,4
0,0,4
-4.34882e-06,-4.34882e-06,4
-4.34882e-06,-4.34882e-06,4
0.0153809,0.0153809,4
-4.34882e-06,-4.34882e-06,4
-0,-0,4
0.834707,0.858766,4
0.0149254,0.0298507,4
0.99993,0.734065,4
1.08153,1.05614,4
0,0,4
3.83582,2.1194,4
0.286478,0.194698,4
0.14845,0.137081,4
0.14845,0.146063,4
0.0149214,0.0144759,4
0.0336796,0.0582836,4
-0.751167,-0.512228,4
0.928669,0.928669,4
0,0.037037,4
0.999894,0,4
1.03567,1,4
0,0,4
3.92593,2.03704,4
0.142661,0.0356653,4
0.0687881,0.0687881,4
0.0687881,0.0687881,4
0.0153809,0.0142663,4
-4.34882e-06,0.0687881,4
-0.998489,26764.2,4
1,1,4
0,0,4
0,0,4
1,1,4
0,0,4
4,2,4
0,0,4
-4.34882e-06,-4.34882e-06,4
-4.34882e-06,-4.34882e-06,4
0.0153809,0.0153809,4
