angles,magnitudes,activity
1,0.44,0
0,0.2,0
0,7.24949,0
1,1.16,0
0,0,0
2,12.6,0
0,0.64,0
-4.34882E-06,0.412684,0
-4.34882E-06,0.412684,0
0.0153809,0.0103809,0
-4.34882E-06,0.217313,0
0,-0.655001,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
2,10,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
4,12,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
4,12,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
4,12,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0.382962,0
0,0.196721,0
0.922852,2.099,0
1,1.23865,0
0,0,0
4,13.2787,0
5.68434E-14,0.725611,0
-4.29705E-06,0.435693,0
-4.29705E-06,0.490069,0
0.0153809,0.0104427,0
-4.29705E-06,0.215325,0
0,-0.274044,0
1,0.307227,0
0,0.698113,0
0,-0.0102752,0
1,1.24279,0
0,0,0
4,13.1887,0
0,0.266287,0
-4.34882E-06,0.329242,0
-4.34882E-06,0.53928,0
0.0153809,0.00879489,0
-4.34882E-06,0.265977,0
0,-0.160718,0
1,0.288903,0
0,0.660714,0
0,-0.77072,0
1,1.24203,0
0,0,0
4,13.1607,0
0,0.313457,0
-4.34882E-06,0.363102,0
-4.34882E-06,0.561887,0
0.0153809,0.00837552,0
-4.34882E-06,0.278183,0
0,-0.0987278,0
1,0.315059,0
0,0.679245,0
0,-2.36501,0
1,1.22428,0
0,0,0
4,13.2453,0
0,0.260591,0
-4.34882E-06,0.322936,0
-4.34882E-06,0.52558,0
0.0153809,0.00857239,0
-4.34882E-06,0.272484,0
0,-0.189653,0
1,1,0
0,1,0
0,-60000000000,0
1,1,0
0,0,0
6,13,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,1149740,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.987805,0.32967,0
0.300613,0.312883,0
0,3.2728,0
1,1.26452,0
0,0,0
2.04294,12.2883,0
0.298769,0.892318,0
0.0162192,0.540008,0
0.0162192,0.60776,0
0.0151903,0.0086625,0
0.0162192,0.269857,0
3323.04,-0.343844,0
1,0.322056,0
0,0.333333,0
0,3.68582,0
1,1.2628,0
0,0,0
2,12.3072,0
0,0.866419,0
-4.34882E-06,0.534699,0
-4.34882E-06,0.604751,0
0.0153809,0.00843642,0
-4.34882E-06,0.276426,0
0,-0.356221,0
0.988236,0.404853,0
0.289941,0.118343,0
-0.00595216,1.18287,0
1.28823,1.32352,0
0,0,0
2.04142,12.3787,0
0.288225,1.15836,0
0.0157362,0.5013,0
0.0157362,0.535675,0
0.015197,0.0121203,0
0.0157362,0.157906,0
-0.163786,-0.533715,0
0.98718,0.319209,0
0.316129,0.329032,0
-0.00649327,-1.49051,0
1.31409,1.33157,0
0,0,0
2.04516,12.2903,0
0.314089,0.889906,0
0.0169153,0.534178,0
0.0169153,0.613302,0
0.0151805,0.00848179,0
0.0169153,0.275113,0
-0.166176,-0.290568,0
0.976194,0.34214,0
0,0.228916,0
0.999817,0.798759,0
1.0119,1.23951,0
0,0,0
2.0241,12.8072,0
0.0476121,0.733924,0
0.0283136,0.455164,0
0.0283136,0.523932,0
0.0153809,0.00986482,0
-4.29705E-06,0.233626,0
-0.988147,-0.212218,0
1,0.312272,0
0,0.297297,0
0,2.28281,0
1,1.23174,0
0,0,0
2,12.8108,0
0,0.66691,0
-4.34882E-06,0.464616,0
-4.34882E-06,0.549244,0
0.0153809,0.00885237,0
-4.34882E-06,0.264284,0
0,-0.141053,0
1,0.422043,0
0,0.0898876,0
0,2.32348,0
1,1.24618,0
0,0,0
2,12.9438,0
0,0.906956,0
-4.34882E-06,0.404482,0
-4.34882E-06,0.419186,0
0.0153809,0.0128244,0
-4.34882E-06,0.131269,0
0,-0.616332,0
1,0.321563,0
0,0.25,0
0,1.6189,0
1,1.24234,0
0,0,0
2,12.875,0
0,0.734375,0
-4.34882E-06,0.465433,0
-4.34882E-06,0.5385,0
0.0153809,0.00952148,0
-4.34882E-06,0.24421,0
0,-0.19655,0
0.747187,0.522952,0
0.037594,0.101504,0
1.39907,1.27926,0
1.09418,1.18844,0
0,0,0
4.24812,12.5226,0
0.397083,0.670544,0
0.213855,0.355042,0
0.213855,0.384833,0
0.0142502,0.0125308,0
0.0695743,0.142603,0
-0.775437,-0.466152,0
0.743746,0.397623,0
0.0401606,0.325301,0
1.16088,1.44416,0
1.0998,1.1808,0
0,0,0
4.249,12.5181,0
0.395832,0.442444,0
0.216531,0.394112,0
0.225255,0.490726,0
0.0141762,0.0085221,0
0.0731501,0.273945,0
-0.66621,-0.0305974,0
0.748847,0.397649,0
0.0152091,0.330798,0
0.753876,1.12519,0
1.12361,1.18216,0
0,0,0
4.27376,12.5133,0
0.457373,0.432332,0
0.200477,0.391412,0
0.200477,0.490218,0
0.0149128,0.00846302,0
0.0341947,0.275657,0
-0.816725,-0.0214784,0
0.734569,0.390273,0
0.0513834,0.339921,0
0.194847,0.788609,0
1.12764,1.187,0
0,0,0
4.24901,12.5217,0
0.384633,0.431346,0
0.225621,0.393262,0
0.225621,0.495225,0
0.0138576,0.00836915,0
0.0879657,0.278367,0
-0.561381,-0.0148474,0
0.462225,0.883105,0
0.097561,0.0487805,0
1.51893,0.307997,0
1.28198,1.03525,0
0,0,0
6.58537,12.0732,0
0.925639,0.092207,0
0.415137,0.112971,0
0.415137,0.127651,0
0.0126295,0.0139308,0
0.138831,0.0846391,0
-0.665878,-0.126371,0
0.427319,0.895909,0
0.148649,0.0405405,0
0.714811,3.05533,0
1.28433,1.0263,0
0,0,0
6.58108,12.0676,0
0.83802,0.0900292,0
0.446724,0.104513,0
0.47778,0.115715,0
0.0114261,0.0141653,0
0.18255,0.0736729,0
-0.430147,-0.243691,0
0.475986,0.844983,0
0.0823529,0.0705882,0
0.160074,3.76407,0
1.28014,1.03405,0
0,0,0
6.41176,12.0941,0
0.995156,0.108789,0
0.434181,0.138203,0
0.434181,0.157711,0
0.0130193,0.0133307,0
