angles,magnitude,activity
0.663265,1,0
0,0,0
0.999951,0,0
1.16837,1,0
0,0,0
2.42857,2,0
0.673469,0,0
0.225642,-4.34882E-06,0
0.225642,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
-0.999963,0,0
0.59375,1,0
0.125,0,0
0.99994,0,0
1.10938,1,0
0,0,0
2.375,2,0
0.484375,0,0
0.319464,-4.34882E-06,0
0.319464,-4.34882E-06,0
0.0119629,0.0153809,0
0.163621,-4.34882E-06,0
-0.692995,0,0
0.802469,1,0
0.111111,0,0
-0.124992,0,0
1.09877,1,0
0,0,0
2.11111,2,0
0.0987654,0,0
0.151487,-4.34882E-06,0
0.151487,-4.34882E-06,0
0.0122944,0.0153809,0
0.151487,-4.34882E-06,0
-0.337662,0,0
0.455621,1,0
0.153846,0,0
0.349986,0,0
1.23669,1,0
0,0,0
2.61538,2,0
0.698225,0,0
0.401765,-4.34882E-06,0
0.401765,-4.34882E-06,0
0.0113128,0.0153809,0
0.186444,-4.34882E-06,0
-0.502975,0,0
0.68,1,0
0,0,0
0.99995,0,0
1.16,1,0
0,0,0
4.4,2,0
0.64,0,0
0.217313,-4.34882E-06,0
0.217313,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
-0.999955,0,0
0.333333,1,0
0.333333,0,0
3.99984,0,0
1.22222,1,0
0,0,0
5.66667,2,0
1.55556,0,0
0.477108,-4.34882E-06,0
0.477108,-4.34882E-06,0
0.00843642,0.0153809,0
0.276426,-4.34882E-06,0
-5.87867,0,0
0.388889,1,0
0,0,0
0.999971,0,0
1.47222,1,0
0,0,0
4.33333,2,0
1.88889,0,0
0.439234,-4.34882E-06,0
0.439234,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
-0.999951,0,0
0.555556,1,0
0,0,0
0.999958,0,0
1.22222,1,0
0,0,0
4.66667,2,0
0.888889,0,0
0.276426,-4.34882E-06,0
0.276426,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
-0.999992,0,0
0.193878,0.397959,0
1.07143,2.28571,0
0.722209,0.428567,0
2.28571,5,0
0,0,0
4.21429,5.42857,0
3.88265,13.3878,0
0.708221,0.43093,0
0.810453,0.43093,0
0.00820611,0.0115543,0
0.388821,0.178103,0
-0.607609,-0.568442,0
0.22449,0.22449,0
0.857143,3,0
0.849993,0.653147,0
6.71429,5.53061,0
0,0,0
3.71429,6.71429,0
20.2857,16.2041,0
0.587055,0.673059,0
0.673059,0.673059,0
0.00645229,0.00581453,0
0.415042,0.501046,0
-3.90002,-2.93764,0
0.382716,0.259259,0
0.222222,0.555556,0
0.571419,0.886927,0
2.55556,5.91358,0
0,0,0
3.77778,7,0
4.61728,16.8889,0
0.499013,0.63614,0
0.499013,0.63614,0
0.00997962,0.00959382,0
0.23004,0.296931,0
-1.13387,-1.61272,0
0.265306,0.387755,0
1.57143,2.28571,0
0.0374993,0.99999,0
2.63265,4.91837,0
0,0,0
4.14286,6,0
3.83674,13.7143,0
0.554592,0.436124,0
0.640596,0.436124,0
0.00645229,0.0115543,0
0.415042,0.178103,0
-0.877005,-0.589641,0
1,1,0
1,0,0
0,0,0
1,1,0
0,0,0
3,2,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
1149740,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,1,0
0,-30000000000,0
1,1,0
0,0,0
6,7,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,1149740,0
0.5,0.5,0
2,4.5,0
-10.9996,0.99998,0
1.25,2,0
0,0,0
6,5.5,0
0,0.25,0
-4.34882E-06,0.301021,0
0.301021,0.301021,0
0.00756836,0.00756836,0
0.301021,0.301021,0
-8.30506,-8.30506,0
0.5,0.5,0
1,4.5,0
0,0,0
1,1,0
0,0,0
6,3.5,0
1,2.25,0
0.301021,0.301021,0
0.301021,0.301021,0
0.0153809,0.00756836,0
-4.34882E-06,0.301021,0
1080520,505649,0
0.5,1,0
0.5,9,0
10000000000,0,0
1,1,0
0,0,0
6.5,5,0
0.25,0,0
0.301021,-4.34882E-06,0
0.301021,-4.34882E-06,0
0.00756836,0.0153809,0
0.301021,-4.34882E-06,0
505649,1149740,0
0.625,0.25,0
0.25,1.25,0
1.3333,0.686267,0
1.75,4.1875,0
0,0,0
7.25,5.75,0
1.6875,8.1875,0
0.24421,0.602043,0
0.24421,0.602043,0
0.00952148,0.00561523,0
0.24421,0.451532,0
-4.88592,-3.10165,0
0.625,0.375,0
0,4.75,0
0.999954,0.666659,0
1.1875,4,0
0,0,0
6.5,5.25,0
0.75,6.1875,0
0.24421,0.451532,0
0.24421,0.451532,0
0.0153809,0.00561523,0
-4.34882E-06,0.451532,0
-0.999976,-13.7625,0
0.5,1,0
0,0,0
0.99996,0,0
1.25,1,0
0,0,0
3,2,0
1,0,0
0.301021,-4.34882E-06,0
0.301021,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
-1,0,0
0.5,0.5,0
0,0,0
0.99999,0.99999,0
5,5,0
0,0,0
6,6,0
16,16,0
0.301021,0.301021,0
0.301021,0.301021,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
-1,-1,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
6,6,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
8,12,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
