angles,magnitud,activity
0.107438,0.685951,0
0.454545,0.181818,0
0.701544,-0.099993,0
5.26446,1.08264,0
0,0,0
7.90909,2.18182,0
15.719,0.14876,0
0.931888,0.205907,0
0.986617,0.260636,0
0.00763293,0.0107321,0
0.299224,0.205907,0
-0.73719,-0.0298872,0
0.25,1,0
6.5,0,0
1.17581,0,0
6.6875,1,0
0,0,0
9,2,0
14.5,0,0
0.602043,-4.34882E-06,0
0.602043,-4.34882E-06,0
0.00561523,0.0153809,0
0.451532,-4.34882E-06,0
-4.1525,0,0
0.160494,1,0
4.22222,0,0
-0.651369,0,0
3.69136,1,0
0,0,0
10.2222,2,0
8.61728,0,0
0.72828,-4.34882E-06,0
0.820421,-4.34882E-06,0
0.00766481,0.0153809,0
0.368566,-4.34882E-06,0
-1.41779,0,0
0.265306,1,0
1.14286,0,0
0.124999,0,0
1.48979,1,0
0,0,0
11.4286,2,0
1.38776,0,0
0.501046,-4.34882E-06,0
0.640596,-4.34882E-06,0
0.00645229,0.0153809,0
0.415042,-4.34882E-06,0
-1.92785,0,0
0.22,0.32,0
0.8,1.4,0
0.28571,0.942019,0
2.96,4.45,0
0,0,0
7.4,5.2,0
5.24,13.16,0
0.590287,0.590287,0
0.759146,0.590287,0
0.00631836,0.00788086,0
0.409678,0.408414,0
-0.913663,-2.46916,0
0.25,0.25,0
2.5,2.5,0
-1.19998,0.322031,0
2.25,4.6875,0
0,0,0
6.5,5.5,0
1.25,15.25,0
0.602043,0.602043,0
0.602043,0.602043,0
0.00561523,0.00561523,0
0.451532,0.451532,0
-0.999942,-0.999942,0
0.14,0.52,0
0.7,0.2,0
0.523802,0.776942,0
2.89,3.69,0
0,0,0
5.9,3.6,0
7.09,9.24,0
0.819352,0.408414,0
0.879553,0.408414,0
0.00694336,0.0103809,0
0.38996,0.217313,0
-0.725264,-1.52758,0
0.333333,0.555556,0
0,0.333333,0
0.999975,0.699994,0
1.66667,6.55555,0
0,0,0
8,5,0
2.66667,18,0
0.477108,0.276426,0
0.477108,0.276426,0
0.0153809,0.00843642,0
-4.34882E-06,0.276426,0
-0.999973,-5.87869,0
0.4912,0.4912,0
0.04,0.2,0
0.999964,2.89136,0
1.3104,1.4864,0
0,0,0
2.76,13.32,0
1.2224,1.3376,0
0.390658,0.455794,0
0.390658,0.455794,0
0.0141809,0.0103809,0
0.0729285,0.217313,0
-0.843636,-0.524497,0
0.538462,0.360947,0
0.0769231,0.307692,0
1.39389,3.6847,0
1.39053,1.54438,0
0,0,0
2.84615,13.0769,0
2.13018,1.60947,0
0.343196,0.548764,0
0.343196,0.548764,0
0.0131619,0.00872406,0
0.117767,0.268056,0
-1.62134,-0.530318,0
0.404445,0.395556,0
0.0666667,0,0
0.823511,0.999977,0
1.75556,1.72889,0
0,0,0
3.26667,12.5333,0
2.72889,2.91556,0
0.461436,0.438457,0
0.461436,0.438457,0
0.0134364,0.0153809,0
0.106363,-4.34882E-06,0
-0.898875,-0.999954,0
0.526627,0.514793,0
0,0.230769,0
0.999959,-9.04533,0
1.23669,1.13018,0
0,0,0
2.76923,13.4615,0
0.946746,0.863905,0
0.289352,0.406984,0
0.289352,0.406984,0
0.0153809,0.00983352,0
-4.34882E-06,0.234599,0
-0.999996,-1.82013,0
1,0.802469,0
0,0.111111,0
0,6666680000,0
1,1,0
0,0,0
4,14.1111,0
0,0.0987654,0
-4.34882E-06,0.151487,0
-4.34882E-06,0.151487,0
0.0153809,0.0122944,0
-4.34882E-06,0.151487,0
0,92913.6,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
4,14,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
4,14,0
0,0,0
-4.34882E-06,-4.34882E-06,0
-4.34882E-06,-4.34882E-06,0
0.0153809,0.0153809,0
-4.34882E-06,-4.34882E-06,0
0,0,0
0.625,0.625,0
0.25,0.25,0
3.6665,-5.6664,0
1.1875,1.1875,0
0,0,0
4.75,13.25,0
1.6875,1.6875,0
0.24421,0.24421,0
0.24421,0.24421,0
0.00952148,0.00952148,0
0.24421,0.24421,0
-4.88592,-4.88592,0
0.756198,0.603306,0
0.136364,0,0
0.999901,0.999977,0
1.04339,1.79339,0
0,0,0
4.13636,12.9091,0
0.117769,3.17355,0
0.172974,0.254467,0
0.210665,0.254467,0
0.0117006,0.0153809,0
0.172974,-4.34882E-06,0
-0.124869,-0.999982,0
1,0.621302,0
0,0.230769,0
0,-17.4161,0
1,1.07101,0
0,0,0
4,13.6154,0
0,0.698225,0
-4.34882E-06,0.298387,0
-4.34882E-06,0.298387,0
